INSTALACAO ORIGEM;MUNICIPIO ORIGEM;UF ORIGEM;MODAL ORIGEM;INSTALACAO DESTINO;MUNICIPIO DESTINO;UF DESTINO;REDE_ORIGEM;REDE_DESTINO
BASE SECUNDARIA;CIANORTE;PR;FERROVIARIO;BASE SECUNDARIA;CASCAVEL;PR;C;D
BASE SECUNDARIA;IGUATEMI;MS;FERROVIARIO;BASE SECUNDARIA;OURINHOS;SP;C;D
BASE SECUNDARIA;LONDRINA;PR;FERROVIARIO;BASE SECUNDARIA;SARANDI;PR;C;D
BASE SECUNDARIA;PASSO FUNDO;RS;RODOVIARIO;BASE SECUNDARIA;IRANI;SC;C;D
BASE SECUNDARIA;PASSO FUNDO;RS;RODOVIARIO;BASE SECUNDARIA;LAGES;SC;C;D
BASE SECUNDARIA;PASSO FUNDO;RS;RODOVIARIO;BASE SECUNDARIA;CHAPECO;SC;C;D
BASE SECUNDARIA;MARABA;PA;FERROVIARIO;BASE SECUNDARIA;PORTO NACIONAL;TO;D;E
BASE SECUNDARIA;VARZEA GRANDE;MT;RODOVIARIO;BASE SECUNDARIA;SINOP;MT;D;E
BASE SECUNDARIA;VARZEA GRANDE;MT;RODOVIARIO;BASE SECUNDARIA;CUIABA;MT;D;E
BASE SECUNDARIA;VARZEA GRANDE;MT;RODOVIARIO;BASE SECUNDARIA;CUIABA;MT;D;E
BASE SECUNDARIA;RIO BRANCO;AC;RODOVIARIO;BASE SECUNDARIA;SENADOR GUIOMARD;AC;D;E
BASE SECUNDARIA;RONDONOPOLIS;MT;RODOVIARIO;BASE SECUNDARIA;CUIABA;MT;D;E
BASE PRIMARIA/TERMINAL;UBERLANDIA;MG;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SENADOR CANEDO;GO;D;E
BASE PRIMARIA/TERMINAL;UBERLANDIA;MG;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SENADOR CANEDO;GO;D;E
BASE PRIMARIA/TERMINAL;SAO CAETANO DO SUL;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SAO PAULO;SP;D;E
BASE PRIMARIA/TERMINAL;SAO CAETANO DO SUL;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;GUARULHOS;SP;D;E
BASE SECUNDARIA;RONDONOPOLIS;MT;RODOVIARIO;BASE SECUNDARIA;VARZEA GRANDE;MT;D;E
BASE PRIMARIA/TERMINAL;UBERLANDIA;MG;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SENADOR CANEDO;GO;D;E
BASE PRIMARIA/TERMINAL;UBERLANDIA;MG;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SENADOR CANEDO;GO;D;E
BASE PRIMARIA/TERMINAL;UBERLANDIA;MG;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SENADOR CANEDO;GO;D;E
BASE PRIMARIA/TERMINAL;UBERLANDIA;MG;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SENADOR CANEDO;GO;D;E
BASE SECUNDARIA;RONDONOPOLIS;MT;DUTOVIARIO;BASE SECUNDARIA;VILHENA;RO;D;E
BASE PRIMARIA/TERMINAL;SAO PAULO;SP;RODOVIARIO;BASE SECUNDARIA;OURINHOS;SP;D;E
BASE PRIMARIA/TERMINAL;SAO PAULO;SP;RODOVIARIO;BASE SECUNDARIA;OURINHOS;SP;D;E
BASE PRIMARIA/TERMINAL;SAO PAULO;SP;RODOVIARIO;BASE SECUNDARIA;OURINHOS;SP;D;E
BASE PRIMARIA/TERMINAL;ITAJAI;SC;DUTOVIARIO;BASE PRIMARIA/TERMINAL;BIGUACU;SC;D;E
BASE SECUNDARIA;LAGES;SC;RODOVIARIO;BASE SECUNDARIA;ICARA;SC;D;E
BASE SECUNDARIA;CUIABA;MT;RODOVIARIO;BASE SECUNDARIA;SINOP;MT;E;F
BASE SECUNDARIA;CUIABA;MT;RODOVIARIO;BASE SECUNDARIA;SINOP;MT;E;F
BASE PRIMARIA/TERMINAL;SENADOR CANEDO;GO;DUTOVIARIO;BASE PRIMARIA/TERMINAL;BRASILIA;DF;E;F
BASE PRIMARIA/TERMINAL;SENADOR CANEDO;GO;DUTOVIARIO;BASE PRIMARIA/TERMINAL;GOIANIA;GO;E;F
BASE PRIMARIA/TERMINAL;SAO PAULO;SP;RODOVIARIO;BASE SECUNDARIA;OURINHOS;SP;E;F
BASE PRIMARIA/TERMINAL;SENADOR CANEDO;GO;RODOVIARIO;BASE SECUNDARIA;BARRA DO GARCAS;MT;E;F
BASE PRIMARIA/TERMINAL;SENADOR CANEDO;GO;RODOVIARIO;BASE SECUNDARIA;BARRO ALTO;GO;E;F
BASE PRIMARIA/TERMINAL;SENADOR CANEDO;GO;RODOVIARIO;BASE SECUNDARIA;GURUPI;TO;E;F
BASE PRIMARIA/TERMINAL;SENADOR CANEDO;GO;RODOVIARIO;BASE SECUNDARIA;NIQUELANDIA;GO;E;F
BASE SECUNDARIA;VILHENA;RO;RODOVIARIO;BASE SECUNDARIA;PORTO VELHO;RO;E;F
