INSTALACAO ORIGEM;MUNICIPIO ORIGEM;UF ORIGEM;MODAL ORIGEM;INSTALACAO DESTINO;MUNICIPIO DESTINO;UF DESTINO;REDE_ORIGEM;REDE_DESTINO
Refinaria;PAULINIA;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;RIBEIRAO PRETO;SP;A;B
Refinaria;PAULINIA;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;RIBEIRAO PRETO;SP;A;B
Refinaria;PAULINIA;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;RIBEIRAO PRETO;SP;A;B
Refinaria;PAULINIA;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;RIBEIRAO PRETO;SP;A;B
Refinaria;PAULINIA;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;PAULINIA;SP;A;B
Refinaria;PAULINIA;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;PAULINIA;SP;A;B
Refinaria;SANTOS;SP;MARITIMO;BASE PRIMARIA/TERMINAL;SANTOS;SP;A;B
Refinaria;CUBATAO;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;CUBATAO;SP;A;B
Refinaria;CUBATAO;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;SAO CAETANO DO SUL;SP;A;B
Refinaria;SAO JOSE DOS CAMPOS;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;GUARULHOS;SP;A;B
Refinaria;SAO JOSE DOS CAMPOS;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;GUARAREMA;SP;A;B
Refinaria;SAO JOSE DOS CAMPOS;SP;DUTOVIARIO;BASE PRIMARIA/TERMINAL;GUARULHOS;SP;A;B
Refinaria;ARAUCARIA;PR;DUTOVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Refinaria;ARAUCARIA;PR;DUTOVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Refinaria;ARAUCARIA;PR;DUTOVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Refinaria;ARAUCARIA;PR;DUTOVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Porto;PARANAGUA;PR;FERROVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Porto;PARANAGUA;PR;FERROVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Porto;PARANAGUA;PR;FERROVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Porto;PARANAGUA;PR;FERROVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Porto;PARANAGUA;PR;FERROVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Porto;PARANAGUA;PR;FERROVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Porto;PARANAGUA;PR;FERROVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Porto;PARANAGUA;PR;FERROVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Porto;PARANAGUA;PR;FERROVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Porto;PARANAGUA;PR;FERROVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Porto;PARANAGUA;PR;FERROVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Porto;PARANAGUA;PR;FERROVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Porto;PARANAGUA;PR;FERROVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Porto;PARANAGUA;PR;FERROVIARIO;BASE PRIMARIA/TERMINAL;ARAUCARIA;PR;A;B
Refinaria;CANOAS;RS;DUTOVIARIO;BASE PRIMARIA/TERMINAL;ESTEIO;RS;A;B
Refinaria;CANOAS;RS;DUTOVIARIO;BASE PRIMARIA/TERMINAL;ESTEIO;RS;A;B
Refinaria;CANOAS;RS;DUTOVIARIO;BASE PRIMARIA/TERMINAL;ESTEIO;RS;A;B
Refinaria;CANOAS;RS;DUTOVIARIO;BASE PRIMARIA/TERMINAL;ESTEIO;RS;A;B
Refinaria;CANOAS;RS;DUTOVIARIO;BASE PRIMARIA/TERMINAL;CANOAS;RS;A;B
Refinaria;CANOAS;RS;DUTOVIARIO;BASE PRIMARIA/TERMINAL;CANOAS;RS;A;B
Refinaria;CANOAS;RS;FERROVIARIO;BASE SECUNDARIA;CANOAS;RS;A;B
Refinaria;CANOAS;RS;RODOVIARIO;BASE SECUNDARIA;SANTA MARIA;RS;A;B
Refinaria;RIO GRANDE;RS;FERROVIARIO;BASE SECUNDARIA;TUBARAO;SC;A;B
Refinaria;RIO GRANDE;RS;RODOVIARIO;BASE SECUNDARIA;LAGES;SC;A;B
Refinaria;RIO GRANDE;RS;FERROVIARIO;BASE SECUNDARIA;ICARA;SC;A;B
Petroquímica;RIO GRANDE;RS;RODOVIARIO;BASE SECUNDARIA;ESTEIO;RS;A;B
Petroquímica;TRIUNFO;RS;DUTOVIARIO;BASE PRIMARIA/TERMINAL;CANOAS;RS;A;B
BASE PRIMARIA/TERMINAL;CANDEIAS;BA;FERROVIARIO;BASE SECUNDARIA;JUAZEIRO;BA;B;C
BASE PRIMARIA/TERMINAL;CANDEIAS;BA;FERROVIARIO;BASE SECUNDARIA;MONTES CLAROS;MG;B;C
BASE PRIMARIA/TERMINAL;ITABUNA;BA;RODOVIARIO;BASE SECUNDARIA;TEIXEIRA DE FREITAS;BA;B;C
BASE PRIMARIA/TERMINAL;SAO FRANCISCO DO CONDE;BA;RODOVIARIO;BASE SECUNDARIA;CAMACARI;BA;B;C
BASE PRIMARIA/TERMINAL;SAO FRANCISCO DO CONDE;BA;RODOVIARIO;BASE SECUNDARIA;LARANJEIRAS;SE;B;C
BASE PRIMARIA/TERMINAL;BARREIRAS;BA;RODOVIARIO;BASE SECUNDARIA;LUIS EDUARDO MAGALHAES;BA;B;C
REFINARIA;SAO FRANCISCO DO CONDE;BA;DUTOVIARIO;BASE PRIMARIA/TERMINAL;JUAZEIRO;BA;B;C
REFINARIA;SAO FRANCISCO DO CONDE;BA;DUTOVIARIO;BASE PRIMARIA/TERMINAL;MONTES CLAROS;MG;B;C
BASE PRIMARIA/TERMINAL;FORTALEZA;CE;RODOVIARIO;BASE SECUNDARIA;MARACANAU;CE;B;C
BASE PRIMARIA/TERMINAL;IPOJUCA;PE;RODOVIARIO;BASE SECUNDARIA;CHA DE ALEGRIA;PE;B;C
BASE PRIMARIA/TERMINAL;IPOJUCA;PE;RODOVIARIO;BASE PRIMARIA/TERMINAL;CABEDELO;PB;B;C
BASE PRIMARIA/TERMINAL;SAO LUIS;MA;FERROVIARIO;BASE SECUNDARIA;ACAILANDIA;MA;B;C
BASE PRIMARIA/TERMINAL;SAO LUIS;MA;FERROVIARIO;BASE SECUNDARIA;ACAILANDIA;MA;B;C
BASE PRIMARIA/TERMINAL;SAO LUIS;MA;FERROVIARIO;BASE SECUNDARIA;TERESINA;PI;B;C
