,source,target,distancia,volume_perc,volume_m3
66,SAO LUIS,BELEM,482.8083685193378,0.0007587396883201205,48632.0
67,SAO LUIS,PEDREIRAS,228.03877691510462,1.9658085361148047e-06,126.0
68,SAO LUIS,GURUPI,1149.8743354718404,1.1545224735912345e-06,74.0
69,SAO LUIS,ALCANTARA,21.016231134567153,0.0,0.0
70,SAO LUIS,SAO JOAO DOS PATOS,444.3938108937766,0.0,0.0
71,SAO LUIS,MORROS,44.48239052733859,0.0,0.0
72,ACAILANDIA,MARABA,187.0859867561975,0.0,0.0
73,TERESINA,TIMON,3.3292614325180603,0.0,0.0
74,TERESINA,MARCOLANDIA,352.66911207487027,0.0,0.0
75,MANAUS,MANAUS,1.0,0.053964907883772166,3458922.0
76,MANAUS,ITACOATIARA,175.02935732381107,0.005007897245752465,320985.0
77,MANAUS,BELEM,1294.4435135951655,0.0,0.0
78,MANAUS,PORTO VELHO,759.9108386875918,0.0,0.0
79,MANAUS,CRUZEIRO DO SUL,1487.5642442358708,0.0,0.0
80,MANAUS,CARACARAI,563.6550308141277,0.0,0.0
81,ITACOATIARA,PORTO VELHO,868.6121068706113,0.0,0.0
82,ITACOATIARA,SANTAREM,423.18476063922583,0.0,0.0
83,ITACOATIARA,MANAUS,175.02935732381107,0.0003318472028822373,21270.0
84,BELEM,MACAPA,331.24208413019113,0.0,0.0
85,BELEM,BELEM,1.0,0.01254911323001002,804345.0
86,BELEM,BARCARENA,15.725208611898651,0.0,0.0
87,BELEM,DOM ELISEU,313.9404701843951,0.0,0.0
88,BELEM,CACHOEIRA DO PIRIA,218.70057622975077,0.0,0.0
89,PORTO VELHO,VILHENA,603.8408694181487,0.0,0.0
90,PORTO VELHO,SINOP,980.3810261296674,0.0,0.0
91,PORTO VELHO,CUIABA,1138.7282366901456,0.0,0.0
92,PORTO VELHO,VARZEA GRANDE,1139.2012315610273,0.0,0.0
93,PORTO VELHO,RIO BRANCO,451.21629614687293,0.0,0.0
94,PORTO VELHO,GUAJARA-MIRIM,274.5908442018161,0.0,0.0
95,CRUZEIRO DO SUL,SENADOR GUIOMARD,610.7789513004736,0.0,0.0
96,CRUZEIRO DO SUL,RODRIGUES ALVES,12.449259179340613,0.0,0.0
97,CRUZEIRO DO SUL,ACRELANDIA,680.4584913249159,0.0,0.0
98,CARACARAI,BOA VISTA,121.7645011528508,0.0,0.0
99,CARACARAI,CAROEBE,190.87678783487266,0.0,0.0
100,SANTAREM,ITAITUBA,248.84669562361594,0.0,0.0
101,SANTAREM,NOVO PROGRESSO,528.5491380401165,0.0,0.0
102,VILHENA,PORTO VELHO,603.8408694181487,0.0,0.0
103,VILHENA,SINOP,513.6654404893288,0.0,0.0
104,VILHENA,PIMENTEIRAS DO OESTE,126.84733807747476,0.0,0.0
105,SINOP,SINOP,1.0,1.5601655048530196e-08,1.0
106,SINOP,ITIQUIRA,613.2647872551789,0.0,0.0
107,CUIABA,SINOP,420.7600374839395,0.0,0.0
108,VARZEA GRANDE,SINOP,426.26115642579884,0.0,0.0
109,VARZEA GRANDE,CUIABA,6.2211983507355315,0.0,0.0
110,VARZEA GRANDE,JANGADA,59.75995276242895,0.0,0.0
111,VARZEA GRANDE,CAMPO VERDE,104.44834494379305,0.0,0.0
112,VARZEA GRANDE,CACERES,172.52380092421305,0.0,0.0
113,RIO BRANCO,SENADOR GUIOMARD,21.689638410041308,0.0,0.0
114,MACAPA,MAZAGAO,29.47381960470997,0.0,0.0
115,BETIM,BETIM,1.0,0.07699692915744011,4935177.0
116,BETIM,MONTES CLAROS,361.93024569566757,0.0,0.0
117,BETIM,VITORIA,407.72564331593804,0.0,0.0
118,VITORIA,VITORIA,1.0,0.008738143756270696,560078.0
119,VITORIA,SERRA,21.6347517590674,0.0022916647034584062,146886.0
120,VITORIA,VILA VELHA,3.9301986751240143,0.002040883700208332,130812.0
121,VITORIA,JOAO NEIVA,62.49412389803954,0.0,0.0
122,VITORIA,GUARAPARI,45.12719515610116,0.0,0.0
123,RIO DE JANEIRO,ARUJA,323.4450362887068,0.004216253666934995,270244.0
124,RIO DE JANEIRO,BARRA MANSA,107.89920469539938,0.002831996822754153,181519.0
125,RIO DE JANEIRO,VITORIA,415.3219417702885,0.0,0.0
126,RIO DE JANEIRO,DUQUE DE CAXIAS,17.73752851712816,0.0007132764655087035,45718.0
127,RIO DE JANEIRO,TERESOPOLIS,59.834734064792066,0.0,0.0
128,RIO DE JANEIRO,SAO GONCALO,16.981935203425568,0.0,0.0
129,RIO DE JANEIRO,PARATY,158.9772660510511,0.0,0.0
130,RIO DE JANEIRO,ITABORAI,38.61250797486959,0.0,0.0
131,RIO DE JANEIRO,ITAGUAI,59.616521182391345,0.0,0.0
132,BARRA MANSA,ANGRA DOS REIS,52.5018600812457,0.0,0.0
133,BARRA MANSA,VOLTA REDONDA,8.361359010863287,0.0,0.0
134,BARRA MANSA,ITAGUAI,53.62623435931643,0.0,0.0
135,BARRA MANSA,RESENDE,29.60626524517578,0.0,0.0
136,DUQUE DE CAXIAS,DUQUE DE CAXIAS,1.0,0.04469120611465057,2864517.0
137,DUQUE DE CAXIAS,VITORIA,413.74514923114504,0.0,0.0
138,PAULINIA,GUARAREMA,135.17901791398617,0.0,0.0
139,PAULINIA,PAULINIA,1.0,0.09168953817291264,5876911.0
140,PAULINIA,RIBEIRAO PRETO,188.89700117298025,0.00027540041491665504,17652.0
141,PAULINIA,ALTO TAQUARI,841.9757079394853,0.0,0.0
142,PAULINIA,BAURU,204.7154571679427,0.0,0.0
143,PAULINIA,BARUERI,87.9994335832288,0.0,0.0
144,PAULINIA,VARZEA GRANDE,1230.002265211056,0.0,0.0
145,PAULINIA,CAMPO GRANDE,814.6363924090531,0.0,0.0
146,PAULINIA,JARDINOPOLIS,203.15629657937976,0.00036401781559230654,23332.0
147,PAULINIA,SAO PAULO,101.03975140294419,7.685375276905975e-05,4926.0
148,PAULINIA,ARAUCARIA,389.22940183712603,2.324646602230999e-06,149.0
149,GUARAREMA,SAO JOSE DOS CAMPOS,29.166436924074972,0.0,0.0
150,GUARAREMA,GUARULHOS,50.86602342839324,0.0,0.0
151,GUARAREMA,PAULINIA,135.17901791398617,0.0,0.0
152,RIBEIRAO PRETO,UBERABA,158.75978339330078,0.0,0.0
153,RIBEIRAO PRETO,ARACATUBA,272.7218292625573,0.0,0.0
154,RIBEIRAO PRETO,ALTO TAQUARI,683.3090168214445,0.0,0.0
155,RIBEIRAO PRETO,RIBEIRAO PRETO,1.0,0.013730595363525114,880073.0
156,RIBEIRAO PRETO,SAO PAULO,289.00514879839284,0.0004408715683613663,28258.0
157,RIBEIRAO PRETO,JARDINOPOLIS,17.690469945771788,0.00016584559316587598,10630.0
158,RIBEIRAO PRETO,PAULINIA,188.89700117298025,0.00012354950632931062,7919.0
159,RIBEIRAO PRETO,BEBEDOURO,73.65393774080145,0.0,0.0
160,RIBEIRAO PRETO,SANTO ANTONIO DA ALEGRIA,69.4416894882114,0.0,0.0
161,RIBEIRAO PRETO,MATAO,74.86826692285744,0.0,0.0
162,RIBEIRAO PRETO,ITAPORANGA,330.06201814416204,0.0,0.0
163,ALTO TAQUARI,RONDONOPOLIS,208.75906753921296,0.0,0.0
164,BAURU,PRESIDENTE PRUDENTE,238.38564863330612,0.0,0.0
165,BARUERI,SAO CAETANO DO SUL,35.52032332391868,0.0,0.0
166,BARUERI,BARUERI,1.0,0.017819648736849443,1142164.0
167,BARUERI,JARDINOPOLIS,291.155730161493,7.800827524265098e-08,5.0
168,CAMPO GRANDE,CAMPO GRANDE,1.0,1.5601655048530196e-08,1.0
169,CAMPO GRANDE,BANDEIRANTES,64.47762839425984,0.0,0.0
170,CAMPO GRANDE,BELA VISTA,269.51815525759554,0.0,0.0
171,SAO JOSE DOS CAMPOS,GUARULHOS,72.50766450343477,2.229476506434965e-05,1429.0
172,SAO JOSE DOS CAMPOS,GUARAREMA,29.166436924074972,0.0,0.0
173,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,1.0,0.026637111307386864,1707326.0
