,source,target,volume_m3,volume_perc,distancia
86,REFI BETIM,REFI BETIM,,,1.0
87,REFI BETIM,REFI MONTES CLAROS,,,361.93024569566757
88,REFI BETIM,REFI VITORIA,,,407.72564331593804
89,REFI VITORIA,DIST VITORIA,,,1.0
90,REFI RIO DE JANEIRO,REFI ARUJA,,,323.4450362887068
91,REFI RIO DE JANEIRO,REFI BARRA MANSA,,,107.89920469539938
92,REFI RIO DE JANEIRO,REFI VITORIA,,,415.3219417702885
93,REFI ARUJA,DIST ARUJA,,,1.0
94,REFI BARRA MANSA,DIST BARRA MANSA,,,1.0
95,DIST ARUJA,CONS ARUJA,,,1.0
96,DIST BARRA MANSA,CONS BARRA MANSA,,,1.0
97,DIST VITORIA,DIST VITORIA,560078.0,0.008738143756270696,1.0
98,DIST VITORIA,DIST SERRA,146886.0,0.0022916647034584062,21.6347517590674
99,DIST VITORIA,DIST VILA VELHA,130812.0,0.002040883700208332,3.9301986751240143
100,DIST VITORIA,CONS VITORIA,,,1.0
101,REFI DUQUE DE CAXIAS,REFI DUQUE DE CAXIAS,,,1.0
102,REFI DUQUE DE CAXIAS,REFI VITORIA,,,413.74514923114504
103,REFI PAULINIA,REFI GUARAREMA,,,135.17901791398617
104,REFI PAULINIA,REFI PAULINIA,,,1.0
105,REFI PAULINIA,REFI RIBEIRAO PRETO,,,188.89700117298025
106,REFI PAULINIA,REFI ALTO TAQUARI,,,841.9757079394853
107,REFI PAULINIA,REFI BAURU,,,204.7154571679427
108,REFI PAULINIA,REFI BARUERI,,,87.9994335832288
109,REFI PAULINIA,REFI VARZEA GRANDE,,,1230.002265211056
110,REFI PAULINIA,REFI CAMPO GRANDE,,,814.6363924090531
111,REFI PAULINIA,DIST PAULINIA,,,1.0
112,REFI GUARAREMA,REFI SAO JOSE DOS CAMPOS,,,29.166436924074972
113,REFI GUARAREMA,REFI GUARULHOS,,,50.86602342839324
114,REFI GUARAREMA,REFI PAULINIA,,,135.17901791398617
115,REFI RIBEIRAO PRETO,REFI UBERABA,,,158.75978339330078
116,REFI RIBEIRAO PRETO,REFI ARACATUBA,,,272.7218292625573
117,REFI RIBEIRAO PRETO,REFI ALTO TAQUARI,,,683.3090168214445
118,REFI ALTO TAQUARI,REFI RONDONOPOLIS,,,208.75906753921296
119,REFI BAURU,REFI PRESIDENTE PRUDENTE,,,238.38564863330612
120,REFI BARUERI,REFI SAO CAETANO DO SUL,,,35.52032332391868
121,REFI CAMPO GRANDE,DIST CAMPO GRANDE,,,1.0
122,DIST PAULINIA,DIST PAULINIA,5876911.0,0.09168953817291264,1.0
123,DIST PAULINIA,DIST JARDINOPOLIS,23332.0,0.00036401781559230654,203.15629657937976
124,DIST PAULINIA,DIST RIBEIRAO PRETO,17652.0,0.00027540041491665504,188.89700117298025
125,DIST PAULINIA,DIST SAO PAULO,4926.0,7.685375276905975e-05,101.03975140294419
126,DIST PAULINIA,DIST ARAUCARIA,149.0,2.324646602230999e-06,389.22940183712603
127,DIST PAULINIA,CONS PAULINIA,,,1.0
128,REFI SAO JOSE DOS CAMPOS,REFI GUARULHOS,,,72.50766450343477
129,REFI SAO JOSE DOS CAMPOS,REFI GUARAREMA,,,29.166436924074972
130,REFI SAO JOSE DOS CAMPOS,DIST SAO JOSE DOS CAMPOS,,,1.0
131,REFI GUARULHOS,REFI SAO CAETANO DO SUL,,,18.930372116037603
132,REFI GUARULHOS,REFI UBERABA,,,436.98351416397094
133,REFI GUARULHOS,DIST GUARULHOS,,,1.0
134,REFI UBERABA,REFI UBERLANDIA,,,99.14809407356347
135,REFI UBERABA,REFI PASSOS,,,175.819447373871
136,REFI UBERABA,REFI SAO PAULO,,,441.8198768780645
137,REFI ARACATUBA,DIST ARACATUBA,,,1.0
138,REFI SANTOS,REFI SANTOS,,,1.0
139,REFI SANTOS,REFI SAO CAETANO DO SUL,,,43.02941992536957
140,REFI SAO CAETANO DO SUL,REFI SAO PAULO,,,13.215955134508938
141,REFI SAO CAETANO DO SUL,REFI OURINHOS,,,345.9985504057641
142,REFI SAO CAETANO DO SUL,REFI GUARULHOS,,,18.930372116037603
143,REFI CUBATAO,REFI CUBATAO,,,1.0
144,REFI CUBATAO,REFI SAO CAETANO DO SUL,,,32.658612725608684
145,REFI SAO PAULO,REFI OURINHOS,,,335.6730769072995
146,REFI OURINHOS,DIST OURINHOS,,,1.0
147,DIST SAO JOSE DOS CAMPOS,DIST SAO JOSE DOS CAMPOS,1707326.0,0.026637111307386864,1.0
148,DIST SAO JOSE DOS CAMPOS,DIST PAULINIA,74230.0,0.0011581108542523964,138.2306814137229
149,DIST SAO JOSE DOS CAMPOS,DIST SAO PAULO,57257.0,0.0008933039631136934,86.042067283617
150,DIST SAO JOSE DOS CAMPOS,DIST SENADOR CANEDO,42108.0,0.0006569544907835095,794.7246657632348
151,DIST SAO JOSE DOS CAMPOS,DIST RIBEIRAO PRETO,24629.0,0.0003842531621902502,299.58327516740155
152,DIST SAO JOSE DOS CAMPOS,DIST JARDINOPOLIS,12690.0,0.0001979850025658482,309.34756368596226
153,DIST SAO JOSE DOS CAMPOS,DIST GUARULHOS,1429.0,2.229476506434965e-05,72.50766450343477
154,DIST SAO JOSE DOS CAMPOS,DIST DUQUE DE CAXIAS,43.0,6.708711670867985e-07,267.805890547691
155,DIST SAO JOSE DOS CAMPOS,CONS SAO JOSE DOS CAMPOS,,,1.0
156,DIST GUARULHOS,DIST GUARULHOS,1193612.0,0.018622322685786223,1.0
157,DIST GUARULHOS,DIST PAULINIA,226201.0,0.003529109973632579,100.07175274823167
158,DIST GUARULHOS,DIST SAO PAULO,72250.0,0.0011272195772563066,13.951717112530972
159,DIST GUARULHOS,DIST BARUERI,37544.0,0.0005857485371420177,35.726459865884436
160,DIST GUARULHOS,DIST RIBEIRAO PRETO,26504.0,0.0004135062654062443,285.8969918007409
161,DIST GUARULHOS,DIST JARDINOPOLIS,21853.0,0.0003409429677755304,298.89187376133646
