AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP;;;;;;;;;;;;;;;;;
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA;;;;;;;;;;;;;;;;;
SISTEMA DE LEVANTAMENTO DE PREÇOS;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
RELATÓRIO DE DEFESA DA CONCORRÊNCIA;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
INTERVALO DE TEMPO: MENSAL;;;;;;;;;;;;;;;;;
PERÍODO: JANEIRO DE 2022 EM DIANTE;;;;;;;;;;;;;;;;;
COMBUSTÍVEL: TODOS;;;;;;;;;;;;;;;;;
TIPO RELATÓRIO: MUNICÍPIO;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
MÊS;PRODUTO;REGIÃO;ESTADO;MUNICÍPIO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA;PREÇO MÉDIO DISTRIBUIÇÃO;DESVIO PADRÃO DISTRIBUIÇÃO;PREÇO MÍNIMO DISTRIBUIÇÃO;PREÇO MÁXIMO DISTRIBUIÇÃO;COEF DE VARIAÇÃO DISTRIBUIÇÃO
jan/22;ETANOL HIDRATADO;SUDESTE;MINAS GERAIS;BETIM;44;R$/l;5.316;0.136;5.130;5.799;-;0.026;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUL;SANTA CATARINA;BIGUACU;27;R$/l;5.972;0.352;5.299;6.399;-;0.059;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUDESTE;SAO PAULO;BIRIGUI;56;R$/l;4.742;0.123;4.499;4.999;-;0.026;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUL;SANTA CATARINA;BLUMENAU;65;R$/l;5.945;0.111;5.599;6.299;-;0.019;-;-;-;-;-
jan/22;ETANOL HIDRATADO;NORTE;RORAIMA;BOA VISTA;12;R$/l;6.143;0.212;5.990;6.700;-;0.035;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUDESTE;MINAS GERAIS;BOM DESPACHO;26;R$/l;5.195;0.160;4.990;5.797;-;0.031;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUDESTE;SAO PAULO;BOTUCATU;27;R$/l;5.099;0.068;4.999;5.199;-;0.013;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUDESTE;SAO PAULO;BRAGANCA PAULISTA;49;R$/l;4.934;0.136;4.699;5.299;-;0.028;-;-;-;-;-
jan/22;ETANOL HIDRATADO;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;188;R$/l;5.822;0.204;5.459;6.699;-;0.035;-;-;-;-;-
jan/22;ETANOL HIDRATADO;NORDESTE;BAHIA;BRUMADO;28;R$/l;5.601;0.070;5.490;5.749;-;0.013;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUL;SANTA CATARINA;BRUSQUE;27;R$/l;6.073;0.090;5.999;6.199;-;0.015;-;-;-;-;-
jan/22;ETANOL HIDRATADO;NORDESTE;PARAIBA;CABEDELO;24;R$/l;5.155;0.154;4.989;5.399;-;0.030;-;-;-;-;-
jan/22;ETANOL HIDRATADO;NORDESTE;PERNAMBUCO;CABO DE SANTO AGOSTINHO;24;R$/l;5.123;0.113;4.919;5.499;-;0.022;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUL;SANTA CATARINA;CACADOR;22;R$/l;6.357;0.170;5.959;6.589;-;0.027;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUDESTE;SAO PAULO;CACAPAVA;31;R$/l;4.779;0.218;4.579;5.499;-;0.046;-;-;-;-;-
jan/22;ETANOL HIDRATADO;CENTRO OESTE;MATO GROSSO;CACERES;44;R$/l;4.776;0.078;4.710;4.990;-;0.016;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUL;RIO GRANDE DO SUL;CACHOEIRA DO SUL;12;R$/l;6.455;0.379;5.990;6.990;-;0.059;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUL;RIO GRANDE DO SUL;CACHOEIRINHA;12;R$/l;6.367;0.491;5.759;7.099;-;0.077;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUDESTE;ESPIRITO SANTO;CACHOEIRO DE ITAPEMIRIM;1;R$/l;5.990;0.000;5.990;5.990;-;0.000;-;-;-;-;-
jan/22;ETANOL HIDRATADO;NORTE;RONDONIA;CACOAL;19;R$/l;6.551;0.176;6.200;6.790;-;0.027;-;-;-;-;-
jan/22;ETANOL HIDRATADO;NORDESTE;BAHIA;CAETITE;14;R$/l;5.580;0.018;5.569;5.629;-;0.003;-;-;-;-;-
jan/22;ETANOL HIDRATADO;NORDESTE;RIO GRANDE DO NORTE;CAICO;13;R$/l;5.706;0.038;5.640;5.744;-;0.007;-;-;-;-;-
jan/22;ETANOL HIDRATADO;CENTRO OESTE;GOIAS;CALDAS NOVAS;60;R$/l;5.194;0.117;4.970;5.299;-;0.023;-;-;-;-;-
jan/22;ETANOL HIDRATADO;NORDESTE;BAHIA;CAMACARI;47;R$/l;5.428;0.219;4.940;5.999;-;0.040;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUL;PARANA;CAMBE;40;R$/l;5.171;0.136;4.890;5.490;-;0.026;-;-;-;-;-
jan/22;ETANOL HIDRATADO;NORDESTE;PARAIBA;CAMPINA GRANDE;63;R$/l;4.940;0.093;4.730;5.199;-;0.019;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUDESTE;SAO PAULO;CAMPINAS;211;R$/l;4.849;0.190;4.299;5.499;-;0.039;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUDESTE;MINAS GERAIS;CAMPO BELO;45;R$/l;5.359;0.060;5.199;5.450;-;0.011;-;-;-;-;-
jan/22;ETANOL HIDRATADO;CENTRO OESTE;MATO GROSSO DO SUL;CAMPO GRANDE;104;R$/l;5.100;0.135;4.970;5.489;-;0.026;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUL;PARANA;CAMPO MOURAO;70;R$/l;5.040;0.198;4.870;5.690;-;0.039;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUDESTE;RIO DE JANEIRO;CAMPOS DOS GOYTACAZES;58;R$/l;6.011;0.359;5.689;6.699;-;0.060;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUL;RIO GRANDE DO SUL;CANOAS;16;R$/l;6.199;0.266;5.999;6.699;-;0.043;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUDESTE;SAO PAULO;CARAGUATATUBA;45;R$/l;5.082;0.076;4.898;5.299;-;0.015;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUDESTE;SAO PAULO;CARAPICUIBA;40;R$/l;4.704;0.160;4.349;4.899;-;0.034;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUDESTE;ESPIRITO SANTO;CARIACICA;34;R$/l;5.450;0.127;5.300;5.890;-;0.023;-;-;-;-;-
jan/22;ETANOL HIDRATADO;NORDESTE;PERNAMBUCO;CARUARU;51;R$/l;5.107;0.141;4.990;5.460;-;0.028;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUL;PARANA;CASCAVEL;48;R$/l;5.456;0.053;5.290;5.580;-;0.010;-;-;-;-;-
jan/22;ETANOL HIDRATADO;NORTE;PARA;CASTANHAL;12;R$/l;6.080;0.081;5.999;6.199;-;0.013;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUL;PARANA;CASTRO;24;R$/l;5.334;0.083;5.199;5.419;-;0.016;-;-;-;-;-
jan/22;ETANOL HIDRATADO;SUDESTE;SAO PAULO;CATANDUVA;49;R$/l;4.643;0.079;4.490;4.799;-;0.017;-;-;-;-;-
