Ranking;Rodovia;Sobreposições existentes;UF;Região;Município inicial;Município final;Jurisdição;Gestão;Extensão pesquisada (KM);Escalas de extensão;Classificação geral
118;BR-493;-;RJ;Sudeste;Itaboraí;Itaguaí;Federal;Pública;102;Mais de 100 km até 250 km;Bom
117;BR-020;BR-135, BR-242, BR-349;BA;Nordeste;Riachão das Neves;Jaborandi;Federal;Pública;408;Mais de 250 km até 500 km;Bom
116;BR-304;BR-101, BR-104, BR-226;RN;Nordeste;Mossoró;Natal;Federal;Pública;321;Mais de 250 km até 500 km;Bom
115;BR-304;-;CE;Nordeste;Beberibe;Aracati;Federal;Pública;103;Mais de 100 km até 250 km;Bom
114;BR-230;BR-316, BR-343, BR-407;PI;Nordeste;Floriano;Fronteiras;Federal;Pública;316;Mais de 250 km até 500 km;Bom
113;BR-316;BR-226, BR-230, BR-343, BR-407;PI;Nordeste;Teresina;Marcolândia;Federal;Pública;423;Mais de 250 km até 500 km;Bom
112;BR-487;-;MS;Centro-Oeste;Itaquiraí;Naviraí;Federal;Pública;52;Até 100 km;Bom
111;BR-104;BR-101, BR-416;AL;Nordeste;São José da Laje;Maceió;Federal;Pública;111;Mais de 100 km até 250 km;Bom
110;BA-099;-;BA;Nordeste;Jandaíra;Lauro de Freitas;Estadual;Concessionada;188;Mais de 100 km até 250 km;Bom
109;BR-040;BR-135, BR-262, BR-267, BR-356, BR-381, BR-383;MG;Sudeste;Paracatu;Simão Pereira;Federal;Concessionada;836;Mais de 500 km;Bom
108;BR-381;BR-116;SP;Sudeste;Vargem;São Paulo;Federal;Concessionada;94;Até 100 km;Bom
107;BR-272;BR-487;PR;Sul;Campo Mourão;Goioerê;Federal;Pública;78;Até 100 km;Bom
106;SP-160;-;SP;Sudeste;São Paulo;Praia Grande;Estadual;Concessionada;73;Até 100 km;Bom
105;BR-392;BR-116, BR-293, BR-471;RS;Sul;Santana da Boa Vista;Rio Grande;Federal;Concessionada;201;Mais de 100 km até 250 km;Bom
104;BR-419;BR-060, BR-267;MS;Centro-Oeste;Anastácio;Jardim;Federal;Pública;137;Mais de 100 km até 250 km;Bom
103;BR-242;BR-010, BR-153;TO;Norte;Formoso do Araguaia;Taguatinga;Federal;Pública;485;Mais de 250 km até 500 km;Bom
102;BR-381;BR-040, BR-262, BR-265, BR-494;MG;Sudeste;Belo Horizonte;Extrema;Federal;Concessionada;483;Mais de 250 km até 500 km;Bom
101;BR-316;BR-010, BR-308;PA;Norte;Belém;Cachoeira do Piriá;Federal;Pública;276;Mais de 250 km até 500 km;Bom
100;BR-407;BR-122, BR-235, BR-324;BA;Nordeste;Juazeiro;Capim Grosso;Federal;Pública;238;Mais de 100 km até 250 km;Bom
99;SP-304;-;SP;Sudeste;Jaú;Piracicaba;Estadual;Concessionada;122;Mais de 100 km até 250 km;Bom
98;BR-101;BR-356;RJ;Sudeste;Campos dos Goytacazes;Rio de Janeiro;Federal;Concessionada;336;Mais de 250 km até 500 km;Bom
97;BR-101;BR-262, BR-342;ES;Sudeste;Pedro Canário;Mimoso do Sul;Federal;Concessionada;472;Mais de 250 km até 500 km;Bom
96;BR-463;-;MS;Centro-Oeste;Dourados;Ponta Porã;Federal;Pública;112;Mais de 100 km até 250 km;Bom
95;SP-461;BR-154;SP;Sudeste;Votuporanga;Bilac;Estadual;Pública;125;Mais de 100 km até 250 km;Bom
94;BR-316;-;PE;Nordeste;Araripina;Parnamirim;Federal;Pública;145;Mais de 100 km até 250 km;Bom
93;BR-116;-;PE;Nordeste;Salgueiro;Belém do São Francisco;Federal;Pública;95;Até 100 km;Bom
92;BR-116;BR-280, BR-477;SC;Sul;Mafra;Capão Alto;Federal;Concessionada;311;Mais de 250 km até 500 km;Bom
91;BR-458;BR-116;MG;Sudeste;Tarumirim;Ipatinga;Federal;Pública;66;Até 100 km;Bom
90;BR-163;BR-060, BR-262, BR-267, BR-419, BR-487;MS;Centro-Oeste;Sonora;Mundo Novo;Federal;Concessionada;848;Mais de 500 km;Bom
89;BR-262;BR-484;ES;Sudeste;Iúna;Vitória;Federal;Pública;188;Mais de 100 km até 250 km;Bom
88;MG-135;BR-135;MG;Sudeste;Montes Claros;Curvelo;Estadual;Concessionada;303;Mais de 250 km até 500 km;Bom
87;BR-324;BR-420;BA;Nordeste;Feira de Santana;Salvador;Federal;Concessionada;124;Mais de 100 km até 250 km;Bom
86;BR-373;BR-277, BR-376, BR-487;PR;Sul;Ponta Grossa;Candói;Federal;Concessionada;210;Mais de 100 km até 250 km;Bom
85;BR-230;BR-101, BR-104, BR-110, BR-408;PB;Nordeste;Cachoeira dos Índios;Cabedelo;Federal;Pública;530;Mais de 500 km;Bom
84;BR-040;BR-050;GO;Centro-Oeste;Valparaíso de Goiás;Cristalina;Federal;Concessionada;157;Mais de 100 km até 250 km;Bom
83;BR-401;-;RR;Norte;Bonfim;Boa Vista;Federal;Pública;125;Mais de 100 km até 250 km;Bom
82;BR-415;BR-101;BA;Nordeste;Ilhéus;Itapé;Federal;Pública;54;Até 100 km;Bom
81;BR-110;-;PE;Nordeste;Sertânia;Ibimirim;Federal;Pública;54;Até 100 km;Bom
80;SP-342;-;SP;Sudeste;Águas da Prata;Mogi Guaçu;Estadual;Concessionada;80;Até 100 km;Bom
79;BR-116;BR-040, BR-393, BR-492, BR-493;RJ;Sudeste;Carmo;Resende;Federal;Concessionada;343;Mais de 250 km até 500 km;Bom
78;SP-099;-;SP;Sudeste;São José dos Campos;Caraguatatuba;Estadual;Concessionada;80;Até 100 km;Bom
77;BA-052;BR-122;BA;Nordeste;Xique-Xique;Feira de Santana;Estadual;Concessionada;462;Mais de 250 km até 500 km;Bom
76;BR-407;BR-230, BR-316;PI;Nordeste;Picos;Acauã;Federal;Pública;201;Mais de 100 km até 250 km;Bom
75;MA-402;BR-402;MA;Nordeste;Humberto de Campos;Morros;Estadual;Pública;65;Até 100 km;Bom
74;SP-351;BR-265;SP;Sudeste;Batatais;Santo Antônio da Alegria;Estadual;Pública;53;Até 100 km;Bom
73;BR-373;-;PR;Sul;Candói;Coronel Vivida;Federal;Pública;96;Até 100 km;Bom
72;BR-040;BR-116, BR-393, BR-492;RJ;Sudeste;Comendador Levy Gasparian;Rio de Janeiro;Federal;Concessionada;163;Mais de 100 km até 250 km;Bom
71;BR-369;BR-376, BR-466;PR;Sul;Jacarezinho;Jandaia do Sul;Federal;Concessionada;188;Mais de 100 km até 250 km;Bom
70;BR-116;BR-293, BR-392, BR-471;RS;Sul;Camaquã;Jaguarão;Federal;Concessionada;260;Mais de 250 km até 500 km;Bom
69;SP-021;-;SP;Sudeste;São Paulo;Arujá;Estadual;Concessionada;137;Mais de 100 km até 250 km;Bom
68;BR-277;BR-116, BR-158, BR-373, BR-376;PR;Sul;Foz do Iguaçu;Paranaguá;Federal;Concessionada;743;Mais de 500 km;Bom
67;BR-316;BR-424;AL;Nordeste;Mata Grande;Maceió;Federal;Pública;294;Mais de 250 km até 500 km;Bom
66;BR-153;BR-242;TO;Norte;Xambioá;Talismã;Federal;Pública;801;Mais de 500 km;Bom
65;BR-080;BR-153, BR-251;GO;Centro-Oeste;São Miguel do Araguaia;Padre Bernardo;Federal;Pública;352;Mais de 250 km até 500 km;Bom
64;BR-343;BR-135, BR-222, BR-226, BR-230, BR-316, BR-324, BR-402, BR-404, BR-407;PI;Nordeste;Luís Correia;Bertolínia;Federal;Pública;747;Mais de 500 km;Bom
63;SP-215;BR-267, BR-369;SP;Sudeste;Vargem Grande do Sul;São Carlos;Estadual;Concessionada;115;Mais de 100 km até 250 km;Bom
62;BR-116;BR-101, BR-381, BR-383, BR-459, BR-478;SP;Sudeste;Queluz;Barra do Turvo;Federal;Concessionada;561;Mais de 500 km;Bom
61;BR-364;BR-483;GO;Centro-Oeste;Jataí;São Simão;Federal;Concessionada;192;Mais de 100 km até 250 km;Bom
60;BR-153;BR-369;SP;Sudeste;Icém;Ourinhos;Federal;Concessionada;322;Mais de 250 km até 500 km;Bom
59;BR-376;BR-116, BR-277, BR-369, BR-373, BR-466, BR-487;PR;Sul;Nova Londrina;Guaratuba;Federal;Concessionada;649;Mais de 500 km;Bom
58;SP-340;-;SP;Sudeste;Mococa;Campinas;Estadual;Concessionada;166;Mais de 100 km até 250 km;Bom
57;BR-116;BR-030, BR-242, BR-330;BA;Nordeste;Feira de Santana;Encruzilhada;Federal;Concessionada;553;Mais de 500 km;Bom
56;SP-351;-;SP;Sudeste;Viradouro;Catanduva;Estadual;Concessionada;85;Até 100 km;Bom
55;BR-330;BR-135, BR-235;PI;Nordeste;Bom Jesus;Redenção do Gurguéia;Federal;Pública;56;Até 100 km;Bom
54;SP-326;BR-364;SP;Sudeste;Barretos;Matão;Estadual;Concessionada;133;Mais de 100 km até 250 km;Bom
53;BR-407;BR-122, BR-235, BR-428;PE;Nordeste;Afrânio;Petrolina;Federal;Pública;132;Mais de 100 km até 250 km;Bom
52;BR-356;-;MG;Sudeste;Nova Lima;Mariana;Federal;Pública;84;Até 100 km;Bom
51;BR-060;BR-153;GO;Centro-Oeste;Santo Antônio do Descoberto;Goiânia;Federal;Concessionada;139;Mais de 100 km até 250 km;Bom
50;BR-050;BR-040, BR-352, BR-457;GO;Centro-Oeste;Valparaíso de Goiás;Cumari;Federal;Concessionada;317;Mais de 250 km até 500 km;Bom
49;BR-424;BR-316;AL;Nordeste;Atalaia;Marechal Deodoro;Federal;Pública;57;Até 100 km;Bom
48;BR-101;BR-230;PB;Nordeste;Mataraca;Caaporã;Federal;Pública;134;Mais de 100 km até 250 km;Bom
47;BR-369;BR-158;PR;Sul;Campo Mourão;Cascavel;Federal;Concessionada;179;Mais de 100 km até 250 km;Bom
46;SP-270;-;SP;Sudeste;Ourinhos;Itapetininga;Estadual;Pública;214;Mais de 100 km até 250 km;Bom
45;SP-425;-;SP;Sudeste;Presidente Prudente;Pirapozinho;Estadual;Pública;69;Até 100 km;Bom
44;BR-116;BR-277, BR-376;PR;Sul;Campina Grande do Sul;Rio Negro;Federal;Concessionada;243;Mais de 100 km até 250 km;Bom
43;SP-463;-;SP;Sudeste;Ouroeste;Clementina;Estadual;Pública;192;Mais de 100 km até 250 km;Bom
42;BR-487;BR-272;PR;Sul;Cruzeiro do Oeste;Campo Mourão;Federal;Pública;72;Até 100 km;Bom
41;BR-230;BR-226;TO;Norte;Araguatins;Aguiarnópolis;Federal;Pública;147;Mais de 100 km até 250 km;Bom
40;SP-284;-;SP;Sudeste;Martinópolis;Assis;Estadual;Concessionada;103;Mais de 100 km até 250 km;Bom
39;SP-255;BR-272;SP;Sudeste;Ribeirão Preto;Itaporanga;Estadual;Concessionada;348;Mais de 250 km até 500 km;Bom
38;SP-258;-;SP;Sudeste;Capão Bonito;Itararé;Estadual;Concessionada;120;Mais de 100 km até 250 km;Bom
37;SP-332;-;SP;Sudeste;Mogi Guaçu;Campinas;Estadual;Concessionada;76;Até 100 km;Bom
36;PR-317;-;PR;Sul;Maringá;Peabiru;Estadual;Concessionada;80;Até 100 km;Bom
35;SP-294;BR-153, BR-158;SP;Sudeste;Panorama;Bauru;Estadual;Concessionada;331;Mais de 250 km até 500 km;Bom
34;SP-425;-;SP;Sudeste;Parapuã;Presidente Prudente;Estadual;Concessionada;76;Até 100 km;Bom
33;BR-359;-;MS;Centro-Oeste;Costa Rica;Coxim;Federal;Pública;206;Mais de 100 km até 250 km;Bom
32;BR-290;BR-101, BR-116;RS;Sul;Osório;Porto Alegre;Federal;Concessionada;98;Até 100 km;Bom
31;BR-365;BR-050, BR-154, BR-364, BR-452;MG;Sudeste;Uberlândia;Santa Vitória;Federal;Concessionada;249;Mais de 100 km até 250 km;Bom
30;BR-101;BR-282, BR-376, BR-486;SC;Sul;Garuva;Passo de Torres;Federal;Concessionada;472;Mais de 250 km até 500 km;Bom
29;SP-270;BR-272, BR-373;SP;Sudeste;Cotia;Itapetininga;Estadual;Concessionada;135;Mais de 100 km até 250 km;Bom
28;SP-191;-;SP;Sudeste;Moji Mirim;São Pedro;Estadual;Concessionada;113;Mais de 100 km até 250 km;Bom
27;BR-020;BR-010, BR-030;DF;Centro-Oeste;Brasília;Brasília;Federal;Pública;58;Até 100 km;Bom
26;BR-101;BR-290;RS;Sul;Torres;Osório;Federal;Concessionada;95;Até 100 km;Bom
25;BR-050;BR-262, BR-365, BR-455, BR-464;MG;Sudeste;Araguari;Delta;Federal;Concessionada;214;Mais de 100 km até 250 km;Bom
24;SP-333;BR-153;SP;Sudeste;Sertãozinho;Florínia;Estadual;Concessionada;362;Mais de 250 km até 500 km;Bom
23;SP-065;-;SP;Sudeste;Campinas;Jacareí;Estadual;Concessionada;147;Mais de 100 km até 250 km;Bom
22;SP-070;-;SP;Sudeste;Taubaté;Guarulhos;Estadual;Concessionada;136;Mais de 100 km até 250 km;Bom
21;ES-060;-;ES;Sudeste;Vitória;Guarapari;Estadual;Concessionada;65;Até 100 km;Bom
20;PR-151;-;PR;Sul;Sengés;Ponta Grossa;Estadual;Concessionada;152;Mais de 100 km até 250 km;Bom
19;CE-040;-;CE;Nordeste;Eusébio;Aracati;Estadual;Pública;128;Mais de 100 km até 250 km;Ótimo
18;SP-322;BR-265;SP;Sudeste;Bebedouro;Ribeirão Preto;Estadual;Concessionada;87;Até 100 km;Ótimo
17;SP-310;BR-262, BR-456;SP;Sudeste;Ilha Solteira;Mirassol;Estadual;Pública;210;Mais de 100 km até 250 km;Ótimo
16;RJ-124;-;RJ;Sudeste;Rio Bonito;São Pedro da Aldeia;Estadual;Concessionada;57;Até 100 km;Ótimo
15;BR-020;BR-030, BR-349;GO;Centro-Oeste;Guarani de Goiás;Formosa;Federal;Pública;247;Mais de 100 km até 250 km;Ótimo
14;SP-101;-;SP;Sudeste;Campinas;Tietê;Estadual;Concessionada;72;Até 100 km;Ótimo
13;SP-310;BR-267, BR-364, BR-456;SP;Sudeste;Mirassol;Cordeirópolis;Estadual;Concessionada;303;Mais de 250 km até 500 km;Ótimo
12;SP-127;BR-373;SP;Sudeste;Rio Claro;Capão Bonito;Estadual;Concessionada;196;Mais de 100 km até 250 km;Ótimo
11;SP-270;BR-267, BR-374;SP;Sudeste;Presidente Epitácio;Ourinhos;Estadual;Concessionada;272;Mais de 250 km até 500 km;Ótimo
10;SP-147;BR-373;SP;Sudeste;Itapira;Piracicaba;Estadual;Concessionada;89;Até 100 km;Ótimo
9;SP-330;BR-050, BR-267;SP;Sudeste;Igarapava;São Paulo;Estadual;Concessionada;441;Mais de 250 km até 500 km;Ótimo
8;SP-308;BR-478;SP;Sudeste;Charqueada;Salto;Estadual;Concessionada;83;Até 100 km;Ótimo
7;SP-300;BR-154, BR-262, BR-267;SP;Sudeste;Castilho;Jundiaí;Estadual;Concessionada;608;Mais de 500 km;Ótimo
6;SP-075;-;SP;Sudeste;Campinas;Sorocaba;Estadual;Concessionada;78;Até 100 km;Ótimo
5;SP-280;BR-374;SP;Sudeste;Santa Cruz do Rio Pardo;São Paulo;Estadual;Concessionada;303;Mais de 250 km até 500 km;Ótimo
4;SP-334;-;SP;Sudeste;Cristais Paulista;Ribeirão Preto;Estadual;Concessionada;89;Até 100 km;Ótimo
3;SP-225;BR-369;SP;Sudeste;Itirapina;Santa Cruz do Rio Pardo;Estadual;Concessionada;225;Mais de 100 km até 250 km;Ótimo
2;SP-348;-;SP;Sudeste;Cordeirópolis;São Paulo;Estadual;Concessionada;157;Mais de 100 km até 250 km;Ótimo
1;SP-320;-;SP;Sudeste;Rubinéia;Mirassol;Estadual;Pública;185;Mais de 100 km até 250 km;Ótimo
