Ranking;Rodovia;Sobreposições existentes;UF;Região;Município inicial;Município final;Jurisdição;Gestão;Extensão pesquisada (KM);Escalas de extensão;Classificação geral
278;BR-104;-;PE;Nordeste;Taquaritinga do Norte;Quipapá;Federal;Pública;154;Mais de 100 km até 250 km;Regular
277;BR-163;BR-280, BR-373, BR-467;PR;Sul;Guaíra;Barracão;Federal;Pública;342;Mais de 250 km até 500 km;Regular
276;BR-330;-;BA;Nordeste;Jequié;Ubaitaba;Federal;Pública;103;Mais de 100 km até 250 km;Regular
275;BR-405;-;RN;Nordeste;Mossoró;Luís Gomes;Federal;Pública;196;Mais de 100 km até 250 km;Regular
274;BR-226;BR-010, BR-135, BR-230, BR-316;MA;Nordeste;Timon;Estreito;Federal;Pública;540;Mais de 500 km;Regular
273;PR-272;BR-272;PR;Sul;Mauá da Serra;Cruzmaltina;Estadual;Pública;55;Até 100 km;Regular
272;RS-135;-;RS;Sul;Erechim;Passo Fundo;Estadual;Concessionada;77;Até 100 km;Regular
271;GO-164;-;GO;Centro-Oeste;São Miguel do Araguaia;São Luís de Montes Belos;Estadual;Pública;461;Mais de 250 km até 500 km;Regular
270;GO-237;-;GO;Centro-Oeste;Niquelândia;Uruaçu;Estadual;Pública;86;Até 100 km;Regular
269;BR-427;BR-110, BR-226;RN;Nordeste;Currais Novos;Serra Negra do Norte;Federal;Pública;167;Mais de 100 km até 250 km;Regular
268;BR-376;-;MS;Centro-Oeste;Dourados;Nova Andradina;Federal;Pública;177;Mais de 100 km até 250 km;Regular
267;BR-135;BR-222, BR-226, BR-230, BR-316;MA;Nordeste;São Luís;São João dos Patos;Federal;Pública;601;Mais de 500 km;Regular
266;BR-285;BR-116, BR-153, BR-287, BR-377, BR-470;RS;Sul;São Borja;São José dos Ausentes;Federal;Pública;667;Mais de 500 km;Regular
265;BR-060;-;MS;Centro-Oeste;Chapadão do Sul;Bandeirantes;Federal;Pública;242;Mais de 100 km até 250 km;Regular
264;BR-020;-;PI;Nordeste;Pio IX;Várzea Branca;Federal;Pública;438;Mais de 250 km até 500 km;Regular
263;BR-386;BR-158, BR-377;RS;Sul;Iraí;Carazinho;Federal;Pública;180;Mais de 100 km até 250 km;Regular
262;BR-163;BR-230;PA;Norte;Santarém;Novo Progresso;Federal;Pública;971;Mais de 500 km;Regular
261;BR-459;BR-146, BR-267, BR-383;MG;Sudeste;Poços de Caldas;Delfim Moreira;Federal;Pública;216;Mais de 100 km até 250 km;Regular
260;BR-226;BR-104, BR-110, BR-304, BR-427;RN;Nordeste;Natal;Pau dos Ferros;Federal;Pública;384;Mais de 250 km até 500 km;Regular
259;RS-453;BR-453;RS;Sul;Garibaldi;Venâncio Aires;Estadual;Concessionada;88;Até 100 km;Regular
258;BR-226;BR-316, BR-343;PI;Nordeste;Coivaras;Teresina;Federal;Pública;74;Até 100 km;Regular
257;MG-496;BR-496;MG;Sudeste;Pirapora;Corinto;Estadual;Pública;136;Mais de 100 km até 250 km;Regular
256;MT-140;-;MT;Centro-Oeste;Sorriso;Santa Rita do Trivelato;Estadual;Concessionada;75;Até 100 km;Regular
255;MT-320;-;MT;Centro-Oeste;Carlinda;Nova Santa Helena;Estadual;Concessionada;153;Mais de 100 km até 250 km;Regular
254;BR-153;-;PR;Sul;Jacarezinho;Santo Antônio da Platina;Federal;Concessionada;51;Até 100 km;Regular
253;PR-495;-;PR;Sul;Marechal Cândido Rondon;Medianeira;Estadual;Pública;79;Até 100 km;Regular
252;BR-287;BR-158, BR-285, BR-392;RS;Sul;São Borja;Santa Maria;Federal;Pública;293;Mais de 250 km até 500 km;Regular
251;MT-130;-;MT;Centro-Oeste;Primavera do Leste;Rondonópolis;Estadual;Concessionada;111;Mais de 100 km até 250 km;Regular
250;BR-356;BR-484;RJ;Sudeste;Itaperuna;São João da Barra;Federal;Pública;177;Mais de 100 km até 250 km;Regular
249;TO-222;-;TO;Norte;Araguaína;Filadélfia;Estadual;Pública;111;Mais de 100 km até 250 km;Regular
248;BR-324;BR-135, BR-343;PI;Nordeste;Bertolínia;Eliseu Martins;Federal;Pública;92;Até 100 km;Regular
247;RS-480;BR-480;RS;Sul;Nonoai;Barão de Cotegipe;Estadual;Pública;61;Até 100 km;Regular
246;BA-001;BR-242, BR-420;BA;Nordeste;Itaparica;Nazaré;Estadual;Pública;60;Até 100 km;Regular
245;BR-174;BR-070, BR-364;MT;Centro-Oeste;Comodoro;Cáceres;Federal;Pública;615;Mais de 500 km;Regular
244;BA-263;-;BA;Nordeste;Floresta Azul;Vitória da Conquista;Estadual;Pública;190;Mais de 100 km até 250 km;Regular
243;BR-468;BR-472;RS;Sul;Tiradentes do Sul;Palmeira das Missões;Federal;Pública;142;Mais de 100 km até 250 km;Regular
242;BR-381;BR-259, BR-262;MG;Sudeste;Governador Valadares;Contagem;Federal;Pública;359;Mais de 250 km até 500 km;Regular
241;MS-306;BR-359;MS;Centro-Oeste;Costa Rica;Cassilândia;Estadual;Concessionada;218;Mais de 100 km até 250 km;Regular
240;MG-451;BR-451;MG;Sudeste;Bocaiúva;Senador Modestino Gonçalves;Estadual;Pública;99;Até 100 km;Regular
239;RS-287;BR-287;RS;Sul;Santa Maria;Paraíso do Sul;Estadual;Pública;56;Até 100 km;Regular
238;RS-239;-;RS;Sul;Riozinho;Novo Hamburgo;Estadual;Concessionada;74;Até 100 km;Regular
237;BR-116;BR-285, BR-290, BR-386;RS;Sul;Vacaria;Camaquã;Federal;Pública;393;Mais de 250 km até 500 km;Regular
236;BR-259;-;ES;Sudeste;Baixo Guandu;João Neiva;Federal;Pública;106;Mais de 100 km até 250 km;Regular
235;BR-316;BR-428;PE;Nordeste;Cabrobó;Inajá;Federal;Pública;166;Mais de 100 km até 250 km;Regular
234;GO-530;BR-251;GO;Centro-Oeste;Aruanã;Araguapaz;Estadual;Pública;55;Até 100 km;Regular
233;BR-070;BR-163, BR-364;MT;Centro-Oeste;Várzea Grande;Campo Verde;Federal;Concessionada;119;Mais de 100 km até 250 km;Regular
232;CE-178;BR-403;CE;Nordeste;Morrinhos;Sobral;Estadual;Pública;68;Até 100 km;Regular
231;BA-160;-;BA;Nordeste;Ibotirama;Bom Jesus da Lapa;Estadual;Pública;139;Mais de 100 km até 250 km;Regular
230;BR-242;BR-020, BR-122, BR-135, BR-330, BR-349, BR-407, BR-430;BA;Nordeste;Luís Eduardo Magalhães;Rafael Jambeiro;Federal;Pública;844;Mais de 500 km;Regular
229;BR-367;BR-101;BA;Nordeste;Itagimirim;Santa Cruz Cabrália;Federal;Pública;163;Mais de 100 km até 250 km;Regular
228;BR-135;BR-020, BR-242, BR-349;BA;Nordeste;Formosa do Rio Preto;Cocos;Federal;Pública;412;Mais de 250 km até 500 km;Regular
227;RS-223;-;RS;Sul;Tio Hugo;Ibirubá;Estadual;Pública;77;Até 100 km;Regular
226;BR-101;-;SP;Sudeste;Ubatuba;Ubatuba;Federal;Pública;52;Até 100 km;Regular
225;BR-414;BR-070, BR-251;GO;Centro-Oeste;Niquelândia;Anápolis;Federal;Pública;237;Mais de 100 km até 250 km;Regular
224;BR-158;BR-262;MS;Centro-Oeste;Cassilândia;Brasilândia;Federal;Pública;358;Mais de 250 km até 500 km;Regular
223;BR-174;BR-210;RR;Norte;Pacaraima;Rorainópolis;Federal;Pública;746;Mais de 500 km;Regular
222;MG-050;-;MG;Sudeste;Juatuba;São Sebastião do Paraíso;Estadual;Concessionada;337;Mais de 250 km até 500 km;Regular
221;BR-153;-;RS;Sul;Marcelino Ramos;Erechim;Federal;Pública;54;Até 100 km;Regular
