,position,refino,distribuicao,postos,custo_gasolina,desvio_gasolina,postos_preco,custo_diesel,desvio_diesel
JOIA,"(-54.1141, -28.6435)",,,4.0,,,,,
ALEGRETE,"(-55.7949, -29.7902)",,,18.0,7.143,0.247,28.0,7.233,0.395
SANTO ANGELO,"(-54.2668, -28.3001)",,,19.0,7.333,0.143,28.0,7.254,0.456
CURURUPU,"(-44.8644, -1.81475)",,,8.0,,,,,
PINHEIRO,"(-45.0788, -2.52224)",,,23.0,7.575,0.148,23.0,7.666,0.394
CAJAZEIRAS,"(-38.5577, -6.88004)",,,19.0,,,,,
LUIS GOMES,"(-38.3899, -6.40588)",,,2.0,,,,,
BREJINHO,"(-37.2865, -7.34694)",,,3.0,,,,,
FREDERICO WESTPHALEN,"(-53.3958, -27.3586)",,,11.0,,,,,
TRES PASSOS,"(-53.9296, -27.4555)",,,10.0,,,,,
PALMITOS,"(-53.1586, -27.0702)",,,8.0,,,,,
PALMEIRA DAS MISSOES,"(-53.3134, -27.9007)",,,10.0,,,,,
SANTO CRISTO,"(-54.662, -27.8263)",,,5.0,,,,,
COCALZINHO DE GOIAS,"(-48.7747, -15.7914)",,,6.0,,,,,
URUTAI,"(-48.2015, -17.4651)",,,1.0,,,,,
CONSELHEIRO LAFAIETE,"(-43.7846, -20.6634)",,,23.0,7.749,0.099,25.0,7.2,0.386
VICOSA,"(-42.8742, -20.7559)",,,1.0,7.633,0.121,26.0,7.92,0.0
SAO JOAO DEL REI,"(-44.2526, -21.1311)",,,19.0,7.516,0.162,20.0,7.299,0.398
BARBACENA,"(-43.7703, -21.2214)",,,26.0,7.519,0.164,30.0,7.31,0.318
MARIANA,"(-43.414, -20.3765)",,,8.0,,,,,
PONTE NOVA,"(-42.8978, -20.4111)",,,9.0,,,,,
DOM SILVERIO,"(-42.9627, -20.1627)",,,2.0,,,,,
ARENAPOLIS,"(-56.8437, -14.4472)",,,4.0,,,,,
BARRA DO BUGRES,"(-57.1878, -15.0702)",,,12.0,,,,,
DIAMANTINO,"(-56.4366, -14.4037)",,,9.0,,,,,
JANGADA,"(-56.4917, -15.235)",,,3.0,,,,,
JABOATAO DOS GUARARAPES,"(-35.015, -8.11298)",,,48.0,7.324,0.219,39.0,7.138,0.405
POUSO ALEGRE,"(-45.9389, -22.2266)",,,35.0,7.426,0.167,19.0,7.14,0.3
JACUTINGA,"(-46.6166, -22.286)",,,8.0,,,,,
DELFIM MOREIRA,"(-45.2792, -22.5036)",,,3.0,,,,,
UBA,"(-42.9359, -21.1204)",,,16.0,7.619,0.053,28.0,7.234,0.395
MERCES,"(-43.3337, -21.1976)",,,3.0,,,,,
VISCONDE DO RIO BRANCO,"(-42.8361, -21.0127)",,,9.0,,,,,
CARPINA,"(-35.2514, -7.84566)",,,8.0,,,,,
VERTENTES,"(-35.9681, -7.90158)",,,6.0,,,,,
CAAPORA,"(-34.9055, -7.51351)",,,3.0,,,,,
NOVO CABRAIS,"(-52.9489, -29.7338)",,,2.0,,,,,
PARAISO DO SUL,"(-53.144, -29.6717)",,,3.0,,,,,
ACEGUA,"(-54.1615, -31.8665)",,,5.0,,,,,
PALMAS,"(-48.3558, -10.24)",,,60.0,7.427,0.197,42.0,7.188,0.369
SILVANOPOLIS,"(-48.1694, -11.1471)",,,2.0,,,,,
SAO LOURENCO DO OESTE,"(-52.8498, -26.3557)",,,11.0,,,,,
CHOPINZINHO,"(-52.5173, -25.8515)",,,9.0,,,,,
CORONEL VIVIDA,"(-52.5641, -25.9767)",,,8.0,,,,,
ABAETE,"(-45.4444, -19.1551)",,,7.0,,,,,
PARA DE MINAS,"(-44.6114, -19.8534)",,,21.0,7.455,0.157,26.0,7.344,0.421
QUIRINOPOLIS,"(-50.4547, -18.4472)",,,15.0,,,,,
SANTA VITORIA,"(-50.1208, -18.8414)",,,6.0,,,,,
PLANURA,"(-48.7, -20.1376)",,,2.0,,,,,
NOVA PONTE,"(-47.6779, -19.1461)",,,4.0,,,,,
DELTA,"(-47.7841, -19.9721)",,,3.0,,,,,
CAPIM GROSSO,"(-40.0089, -11.3797)",,,14.0,,,,,
BOA VISTA DO TUPIM,"(-40.6064, -12.6498)",,,4.0,,,,,
CAMPANHA,"(-45.4004, -21.836)",,,8.0,,,,,
CAXAMBU,"(-44.9319, -21.9753)",,,8.0,,,,,
CRUZILIA,"(-44.8067, -21.84)",,,4.0,,,,,
ALFENAS,"(-45.9477, -21.4256)",,,28.0,7.683,0.246,30.0,7.269,0.336
POUSO ALTO,"(-44.9748, -22.1964)",,,4.0,,,,,
ITAMONTE,"(-44.868, -22.2859)",,,5.0,,,,,
TRES CORACOES,"(-45.2511, -21.6921)",,,17.0,7.904,0.28,28.0,7.616,0.441
PEIXE,"(-48.5395, -12.0254)",,,4.0,,,,,
ARAGUACU,"(-49.8231, -12.9289)",,,2.0,,,,,
TOLEDO,"(-53.7412, -24.7246)",,,2.0,6.992,0.204,38.0,7.034,0.378
SANTA HELENA,"(-54.336, -24.8585)",,,5.0,,,,,
MEDIANEIRA,"(-54.0943, -25.2977)",,,11.0,,,,,
SANTO ANTONIO DA PLATINA,"(-50.0815, -23.2959)",,,12.0,7.304,0.105,40.0,7.192,0.323
JAGUARIAIVA,"(-49.7066, -24.2439)",,,8.0,,,,,
SANTA CRUZ DO RIO PARDO,"(-49.6354, -22.8988)",,,17.0,7.11,0.302,45.0,7.123,0.412
IPIRANGA,"(-50.5794, -25.0238)",,,3.0,,,,,
ITAPETININGA,"(-48.0483, -23.5886)",,,33.0,6.952,0.49,61.0,7.294,0.418
ASSIS,"(-50.4183, -22.66)",,,33.0,6.994,0.424,120.0,7.296,0.495
MAZAGAO,"(-51.2891, -0.11336)",,,2.0,,,,,
TAILANDIA,"(-48.9489, -2.94584)",,,17.0,,,,,
TRES COROAS,"(-50.7739, -29.5137)",,,5.0,,,,,
GRAVATAI,"(-50.9869, -29.9413)",,,44.0,6.674,0.144,60.0,6.638,0.352
SAO FRANCISCO DE PAULA,"(-50.5828, -29.4404)",,,2.0,,,,,
NOVO HAMBURGO,"(-51.1328, -29.6875)",,,40.0,6.533,0.161,70.0,6.646,0.346
PORTO ALEGRE,"(-51.2065, -30.0318)",,,244.0,6.87,0.131,187.0,6.936,0.425
OSORIO,"(-50.2667, -29.8881)",,,27.0,6.856,0.157,24.0,6.883,0.367
TRAMANDAI,"(-50.1322, -29.9841)",,,7.0,,,,,
BALNEARIO PINHAL,"(-50.2337, -30.2419)",,,5.0,,,,,
MACAU,"(-36.6318, -5.10795)",,,7.0,,,,,
ITAJA,"(-36.8712, -5.63894)",,,4.0,,,,,
MADRE DE DEUS DE MINAS,"(-44.3287, -21.483)",,,2.0,,,,,
ESPERA FELIZ,"(-41.9119, -20.6508)",,,5.0,,,,,
FERVEDOURO,"(-42.279, -20.726)",,,3.0,,,,,
PATROCINIO DO MURIAE,"(-42.2125, -21.1544)",,,3.0,,,,,
MARTINS SOARES,"(-41.8786, -20.2546)",,,3.0,,,,,
MIMOSO DO SUL,"(-41.3615, -21.0628)",,,10.0,,,,,
BOM JESUS DA LAPA,"(-43.4108, -13.2506)",,,17.0,,,,,
CAETITE,"(-42.4861, -14.0684)",,,18.0,8.337,0.223,30.0,8.207,0.412
JABORANDI,"(-44.4255, -13.6071)",,,2.0,,,,,
CAPIVARI DO SUL,"(-50.5152, -30.1383)",,,2.0,,,,,
SAO JOSE DO NORTE,"(-52.0331, -32.0151)",,,6.0,,,,,
PRESIDENTE FIGUEIREDO,"(-60.0234, -2.02981)",,,8.0,,,,,
BORBA,"(-59.5874, -4.39154)",,,5.0,,,,,
NOVA VENECIA,"(-40.4053, -18.715)",,,12.0,,,,,
SAO DOMINGOS DO NORTE,"(-40.6281, -19.1452)",,,4.0,,,,,
BARRA DE SAO FRANCISCO,"(-40.8965, -18.7548)",,,11.0,,,,,
AIMORES,"(-41.0746, -19.5007)",,,8.0,,,,,
JOAO NEIVA,"(-40.386, -19.7577)",,,6.0,,,,,
COLATINA,"(-40.6269, -19.5493)",,,24.0,7.659,0.143,17.0,7.077,0.537
CONGONHAS,"(-43.851, -20.4958)",,,12.0,7.62,0.145,26.0,7.114,0.451
CONTAGEM,"(-44.0539, -19.9321)",,,96.0,7.393,0.128,84.0,7.046,0.363
APARECIDA DO RIO NEGRO,"(-47.9638, -9.94139)",,,3.0,,,,,
MANTENA,"(-40.9874, -18.7761)",,,9.0,,,,,
GALILEIA,"(-41.5387, -19.0005)",,,3.0,,,,,
ASSIS BRASIL,"(-69.5738, -10.9298)",,,1.0,,,,,
SAO GONCALO,"(-43.0634, -22.8268)",,,82.0,7.578,0.169,72.0,6.896,0.399
JAIBA,"(-43.6688, -15.3432)",,,6.0,,,,,
JANAUBA,"(-43.3132, -15.8022)",,,16.0,7.811,0.182,35.0,7.374,0.36
GUARDA-MOR,"(-47.0998, -17.7673)",,,3.0,,,,,
BOCA DO ACRE,"(-67.3919, -8.74232)",,,10.0,,,,,
LABREA,"(-64.7948, -7.26413)",,,9.0,,,,,
ARCOVERDE,"(-37.0577, -8.41519)",,,19.0,7.508,0.135,32.0,7.59,0.0
GENTIO DO OURO,"(-42.5077, -11.4342)",,,4.0,,,,,
XIQUE-XIQUE,"(-42.7245, -10.823)",,,7.0,,,,,
PALMITAL,"(-52.2029, -24.8853)",,,9.0,,,,,
LARANJEIRAS DO SUL,"(-52.4109, -25.4077)",,,8.0,,,,,
NOVA TEBAS,"(-51.9454, -24.438)",,,4.0,,,,,
CANDOI,"(-52.0409, -25.5758)",,,8.0,,,,,
UNAI,"(-46.9022, -16.3592)",,,18.0,7.942,0.215,49.0,7.531,0.343
BONFINOPOLIS DE MINAS,"(-45.9839, -16.568)",,,3.0,,,,,
ESPINOSA,"(-42.809, -14.9249)",,,9.0,,,,,
FRANCISCO SA,"(-43.4896, -16.4827)",,,9.0,,,,,
URANDI,"(-42.6498, -14.7678)",,,6.0,,,,,
IMBITUVA,"(-50.5989, -25.2285)",,,7.0,,,,,
SANTO ANTONIO DE JESUS,"(-39.2584, -12.9614)",,,14.0,7.941,0.089,28.0,7.672,0.355
NAZARE,"(-39.0108, -13.0235)",,,1.0,,,,,
RAFAEL JAMBEIRO,"(-39.5007, -12.4053)",,,13.0,,,,,
OLIVEIRA,"(-44.829, -20.6982)",,,15.0,7.419,0.202,45.0,7.192,0.326
GUARATINGUETA,"(-45.1938, -22.8075)",,,25.0,6.807,0.216,29.0,7.255,0.293
CUNHA,"(-44.9576, -23.0731)",,,9.0,,,,,
PARATY,"(-44.7175, -23.2221)",,,12.0,,,,,
UBATUBA,"(-45.0834, -23.4332)",,,28.0,6.944,0.152,45.0,7.34,0.3
MIRACATU,"(-47.4625, -24.2766)",,,9.0,,,,,
CARAGUATATUBA,"(-45.4125, -23.6125)",,,28.0,7.061,0.124,37.0,7.262,0.392
CAREIRO DA VARZEA,"(-59.5557, -3.314)",,,6.0,,,,,
CANUTAMA,"(-64.3953, -6.52582)",,,2.0,,,,,
SOLONOPOLE,"(-39.0107, -5.71894)",,,7.0,,,,,
QUIXELO,"(-39.2011, -6.24637)",,,6.0,,,,,
PEREIRO,"(-38.4624, -6.03576)",,,4.0,,,,,
SENADOR POMPEU,"(-39.3704, -5.58244)",,,4.0,,,,,
CAMBUQUIRA,"(-45.2896, -21.854)",,,6.0,,,,,
NOVA PRATA,"(-51.6113, -28.7799)",,,10.0,,,,,
CARAZINHO,"(-52.7933, -28.2958)",,,21.0,,,,,
BARAO DE COTEGIPE,"(-52.3798, -27.6208)",,,3.0,,,,,
ERECHIM,"(-52.2697, -27.6364)",,,39.0,7.15,0.143,44.0,7.185,0.46
CUMARI,"(-48.1511, -18.2644)",,,2.0,,,,,
TAPURAH,"(-56.5178, -12.695)",,,7.0,,,,,
LUCAS DO RIO VERDE,"(-55.9042, -13.0588)",,,24.0,,,,,
ARAPORA,"(-49.1847, -18.4357)",,,3.0,,,,,
CORUMBAIBA,"(-48.5626, -18.1415)",,,5.0,,,,,
FRONTEIRA,"(-49.1984, -20.2748)",,,4.0,,,,,
SAO FIDELIS,"(-41.756, -21.6551)",,,8.0,,,,,
CAMPOS DOS GOYTACAZES,"(-41.3181, -21.7622)",,,96.0,7.821,0.157,42.0,7.503,0.146
SAO JOAO DA BARRA,"(-41.0446, -21.638)",,,11.0,,,,,
PORTO XAVIER,"(-55.1379, -27.9082)",,,3.0,,,,,
FLORIANO,"(-43.0241, -6.77182)",,,15.0,,,,,
DIRCEU ARCOVERDE,"(-42.4348, -9.33939)",,,5.0,,,,,
BARAO DE GRAJAU,"(-43.0261, -6.74463)",,,4.0,,,,,
FRONTEIRAS,"(-40.6146, -7.08173)",,,4.0,,,,,
ITAJUBA,"(-45.4598, -22.4225)",,,18.0,7.565,0.124,32.0,7.336,0.292
BOM JESUS DO ITABAPOANA,"(-41.6822, -21.1449)",,,8.0,,,,,
CACHOEIRO DE ITAPEMIRIM,"(-41.1198, -20.8462)",,,42.0,7.535,0.21,59.0,7.193,0.428
ARACRUZ,"(-40.2764, -19.82)",,,20.0,7.391,0.149,28.0,6.995,0.437
GUARAPARI,"(-40.5093, -20.6772)",,,26.0,7.41,0.187,16.0,7.65,0.0
SOROCABA,"(-47.4451, -23.4969)",,,123.0,6.833,0.196,104.0,7.177,0.38
JUQUIA,"(-47.6426, -24.3101)",,,4.0,,,,,
TIETE,"(-47.7164, -23.1101)",,,13.0,,,,,
SALTO,"(-47.2931, -23.1996)",,,22.0,6.72,0.311,50.0,6.999,0.375
JUNDIAI,"(-46.8974, -23.1852)",,,91.0,6.824,0.199,105.0,6.978,0.36
PIMENTEIRAS DO OESTE,"(-61.0471, -13.4823)",,,1.0,,,,,
NOVA PETROPOLIS,"(-51.1136, -29.3741)",,,8.0,,,,,
LUZIANIA,"(-47.95, -16.253)",,,36.0,7.268,0.33,47.0,6.946,0.334
CRISTALINA,"(-47.6131, -16.7676)",,,13.0,,,,,
PLANALTINA,"(-47.6089, -15.452)",,,16.0,,,,,
FORMOSA,"(-47.337, -15.54)",,,29.0,7.593,0.296,44.0,7.385,0.411
ALMAS,"(-47.1792, -11.5706)",,,4.0,,,,,
PONTE ALTA DO BOM JESUS,"(-46.4825, -12.0853)",,,1.0,,,,,
IPORA,"(-53.706, -24.0083)",,,13.0,,,,,
DOM ELISEU,"(-47.8245, -4.19944)",,,8.0,,,,,
ITINGA DO MARANHAO,"(-47.5235, -4.45293)",,,5.0,,,,,
CAROLINA,"(-47.4634, -7.33584)",,,10.0,,,,,
TANGARA DA SERRA,"(-57.4933, -14.6229)",,,24.0,,,,,
BAEPENDI,"(-44.8874, -21.957)",,,4.0,,,,,
SAPEZAL,"(-58.7645, -12.9892)",,,8.0,,,,,
CAMPO NOVO DO PARECIS,"(-57.8907, -13.6587)",,,11.0,,,,,
SANTO INACIO,"(-51.7969, -22.6957)",,,4.0,,,,,
PIRAPOZINHO,"(-51.4976, -22.2711)",,,8.0,,,,,
JANDAIA DO SUL,"(-51.6448, -23.6011)",,,5.0,,,,,
PEABIRU,"(-52.3431, -23.914)",,,7.0,,,,,
CRATEUS,"(-40.6536, -5.16768)",,,20.0,7.999,0.209,28.0,7.666,0.332
SAO PEDRO DA ALDEIA,"(-42.1026, -22.8429)",,,18.0,,,,,
FELIXLANDIA,"(-44.9004, -18.7507)",,,5.0,,,,,
GOVERNADOR VALADARES,"(-41.9555, -18.8545)",,,58.0,7.395,0.1,53.0,7.21,0.41
CORINTO,"(-44.4542, -18.369)",,,6.0,,,,,
CURVELO,"(-44.4303, -18.7527)",,,24.0,7.603,0.14,18.0,7.06,0.403
SAO JOAO DAS MISSOES,"(-44.0922, -14.8859)",,,2.0,,,,,
TURMALINA,"(-42.7285, -17.2828)",,,5.0,,,,,
DATAS,"(-43.6591, -18.4478)",,,1.0,,,,,
CAPELINHA,"(-42.5147, -17.6888)",,,9.0,,,,,
SAO SEBASTIAO DO PARAISO,"(-46.9837, -20.9167)",,,21.0,7.696,0.126,28.0,7.286,0.349
SANTO ANTONIO DA ALEGRIA,"(-47.1464, -21.0864)",,,3.0,,,,,
MARMELEIRO,"(-53.0267, -26.1472)",,,10.0,,,,,
ALTO PARAISO,"(-52.7469, -26.1146)",,,6.0,,,,,
CASEARA,"(-49.9521, -9.27612)",,,3.0,,,,,
SAO BORJA,"(-56.0036, -28.6578)",,,10.0,,,,,
BARRA DO QUARAI,"(-57.5497, -30.2029)",,,3.0,,,,,
SAO JOSE DOS AUSENTES,"(-50.0677, -28.7476)",,,1.0,,,,,
SAO FRANCISCO DO SUL,"(-48.6344, -26.2579)",,,10.0,,,,,
GUARATUBA,"(-48.5752, -25.8817)",,,16.0,,,,,
NOVA ANDRADINA,"(-53.3437, -22.238)",,,14.0,7.753,0.063,24.0,7.327,0.364
BATAYPORA,"(-53.2705, -22.2944)",,,3.0,,,,,
JOAO MONLEVADE,"(-43.1735, -19.8126)",,,14.0,7.583,0.123,32.0,7.233,0.39
MARITUBA,"(-48.3421, -1.36002)",,,15.0,,,,,
BARCARENA,"(-48.6195, -1.51187)",,,26.0,,,,,
CACHOEIRA DO PIRIA,"(-46.5459, -1.75974)",,,3.0,,,,,
CARATINGA,"(-42.1292, -19.7868)",,,22.0,7.903,0.111,19.0,7.244,0.379
IPU,"(-40.7059, -4.31748)",,,12.0,,,,,
SAO JOAO DA FRONTEIRA,"(-41.2569, -3.95497)",,,5.0,,,,,
UBAJARA,"(-40.9204, -3.85448)",,,7.0,,,,,
CHAPADINHA,"(-43.3538, -3.73875)",,,32.0,,,,,
OIAPOQUE,"(-51.8331, 3.84074)",,,6.0,,,,,
MARCO,"(-40.1582, -3.1285)",,,7.0,,,,,
UMIRIM,"(-39.3465, -3.67654)",,,4.0,,,,,
SOBRAL,"(-40.3482, -3.68913)",,,40.0,8.132,0.188,56.0,,
CRUZ,"(-40.176, -2.91813)",,,12.0,,,,,
CHAVAL,"(-41.2435, -3.03571)",,,2.0,,,,,
PATOS,"(-37.2747, -7.01743)",,,26.0,7.349,0.186,30.0,7.368,0.442
SERRA NEGRA DO NORTE,"(-37.3996, -6.66031)",,,3.0,,,,,
JACINTO,"(-40.295, -16.1428)",,,2.0,,,,,
ARACUAI,"(-42.0637, -16.8523)",,,8.0,,,,,
SALINAS,"(-42.2964, -16.1753)",,,10.0,,,,,
SIMAO DIAS,"(-37.8097, -10.7387)",,,4.0,,,,,
SAO MATEUS,"(-39.8579, -18.7214)",,,29.0,7.666,0.166,29.0,6.85,0.353
ABARE,"(-39.1162, -8.72073)",,,8.0,,,,,
BELEM DO SAO FRANCISCO,"(-38.9623, -8.75046)",,,3.0,,,,,
SAO SEBASTIAO DO PASSE,"(-38.4905, -12.5123)",,,9.0,,,,,
ENCRUZILHADA,"(-40.9124, -15.5302)",,,8.0,,,,,
PETROLINA,"(-40.5027, -9.38866)",,,73.0,7.909,0.239,49.0,7.621,0.406
NAVEGANTES,"(-48.6546, -26.8943)",,,18.0,,,,,
ADRIANOPOLIS,"(-48.9922, -24.6606)",,,2.0,,,,,
RIBEIRA,"(-49.0044, -24.6517)",,,1.0,,,,,
BARRA DO TURVO,"(-48.5013, -24.759)",,,4.0,,,,,
ITARARE,"(-49.3352, -24.1085)",,,8.0,,,,,
ECOPORANGA,"(-40.836, -18.3702)",,,6.0,,,,,
GRANJA,"(-40.8372, -3.12788)",,,11.0,,,,,
JACOBINA,"(-40.5117, -11.1812)",,,21.0,7.996,0.15,30.0,7.865,0.609
SALITRE,"(-40.45, -7.28398)",,,7.0,,,,,
MARCOLANDIA,"(-40.6602, -7.44169)",,,4.0,,,,,
CACHOEIRA DOURADA,"(-49.5039, -18.5161)",,,3.0,,,,,
TEOFILO OTONI,"(-41.5087, -17.8595)",,,33.0,7.512,0.119,52.0,7.145,0.42
SERRA DOS AIMORES,"(-40.2453, -17.7872)",,,2.0,,,,,
VIANOPOLIS,"(-48.5159, -16.7405)",,,5.0,,,,,
MORRINHOS,"(-40.1233, -3.23426)",,,8.0,7.232,0.163,41.0,6.954,0.394
IPAMERI,"(-48.1581, -17.7215)",,,13.0,,,,,
ITAPIPOCA,"(-39.5836, -3.49933)",,,26.0,7.975,0.157,24.0,,
SAO GONCALO DO AMARANTE,"(-38.9726, -3.60515)",,,16.0,,,,,
BATAGUASSU,"(-52.4221, -21.7159)",,,4.0,,,,,
PRESIDENTE VENCESLAU,"(-51.8447, -21.8732)",,,16.0,6.938,0.292,13.0,7.351,0.416
TRES LAGOAS,"(-51.7007, -20.7849)",,,27.0,7.379,0.177,57.0,7.19,0.329
NOVA SERRANA,"(-44.9847, -19.8713)",,,21.0,,,,,
LEOPOLDINA,"(-42.6421, -21.5296)",,,18.0,7.729,0.105,28.0,7.081,0.322
GUAJARA-MIRIM,"(-65.3296, -10.7889)",,,5.0,,,,,
IRAI,"(-53.2543, -27.1951)",,,3.0,,,,,
SANT'ANA DO LIVRAMENTO,"(-55.5392, -30.8773)",,,,,,,,
MARAVILHA,"(-53.1737, -26.7665)",,,3.0,,,,,
ITAPIRAPUA,"(-50.6094, -15.8205)",,,5.0,,,,,
PIRIPIRI,"(-41.7716, -4.27157)",,,20.0,7.964,0.181,20.0,7.602,0.377
PEDRO II,"(-41.4482, -4.42585)",,,8.0,,,,,
PARAISO,"(-53.6716, -26.62)",,,2.0,,,,,
FLORIANOPOLIS,"(-48.5477, -27.5945)",,,93.0,7.236,0.227,166.0,7.207,0.46
PALESTINA DO PARA,"(-48.3181, -5.74027)",,,2.0,,,,,
JI-PARANA,"(-61.9322, -10.8777)",,,42.0,7.598,0.191,56.0,7.751,0.428
COSTA MARQUES,"(-64.228, -12.4367)",,,5.0,,,,,
IPIRANGA DO NORTE,"(-56.1531, -12.2408)",,,3.0,,,,,
SORRISO,"(-55.7211, -12.5425)",,,24.0,7.434,0.207,39.0,7.614,0.354
SANTA RITA DO TRIVELATO,"(-55.2706, -13.8146)",,,1.0,,,,,
BERILO,"(-42.4606, -16.9567)",,,5.0,,,,,
IPE,"(-51.2859, -28.8171)",,,4.0,,,,,
MACUCO,"(-42.2533, -21.9813)",,,2.0,,,,,
BOA VISTA DO GURUPI,"(-46.3002, -1.77614)",,,,,,,,
TIMON,"(-42.8329, -5.09769)",,,22.0,,,,,
ESTREITO,"(-47.4431, -6.56077)",,,9.0,,,,,
NATIVIDADE,"(-47.7223, -11.7034)",,,2.0,,,,,
ARRAIAS,"(-46.9359, -12.9287)",,,2.0,,,,,
UIRAUNA,"(-38.4128, -6.51504)",,,6.0,,,,,
PAU DOS FERROS,"(-38.2077, -6.10498)",,,9.0,,,,,
ITU,"(-47.2927, -23.2544)",,,34.0,6.726,0.219,69.0,7.056,0.395
PIRACICABA,"(-47.6476, -22.7338)",,,86.0,6.823,0.162,75.0,7.062,0.419
CAMPINAS,"(-47.0659, -22.9053)",,,170.0,6.758,0.177,160.0,6.988,0.419
PRAIA GRANDE,"(-46.4121, -24.0084)",,,45.0,6.894,0.216,56.0,7.215,0.531
JACAREI,"(-45.9658, -23.2983)",,,49.0,6.537,0.142,66.0,6.672,0.332
MOGI GUACU,"(-46.9428, -22.3675)",,,27.0,6.638,0.324,64.0,7.091,0.345
CORDEIROPOLIS,"(-47.4519, -22.4778)",,,8.0,,,,,
DORES DO RIO PRETO,"(-41.8405, -20.6931)",,,2.0,,,,,
CARUARU,"(-35.9699, -8.28455)",,,77.0,7.233,0.166,54.0,,
ERVALIA,"(-42.6544, -20.8403)",,,6.0,,,,,
CRISTOPOLIS,"(-44.4214, -12.2249)",,,6.0,,,,,
TAUBATE,"(-45.5593, -23.0104)",,,62.0,6.695,0.263,39.0,6.899,0.47
CRUZMALTINA,"(-51.4563, -24.0132)",,,1.0,,,,,
SANTA RITA DO ARAGUAIA,"(-53.2012, -17.3269)",,,2.0,,,,,
MINEIROS,"(-52.5537, -17.5654)",,,14.0,7.56,0.097,26.0,7.497,0.367
ALTO ARAGUAIA,"(-53.2181, -17.3153)",,,2.0,,,,,
TAQUARITINGA DO NORTE,"(-36.0423, -7.89446)",,,11.0,,,,,
GUAIRA,"(-54.2573, -24.085)",,,10.0,,,,,
MUNDO NOVO,"(-54.281, -23.9355)",,,5.0,,,,,
WANDERLANDIA,"(-47.9601, -6.85274)",,,4.0,,,,,
AGUIARNOPOLIS,"(-47.4702, -6.55409)",,,1.0,,,,,
MAUA DA SERRA,"(-51.2277, -23.8988)",,,3.0,,,,,
SAO MIGUEL DO ARAGUAIA,"(-50.1634, -13.2731)",,,7.0,,,,,
SAO LUIS DE MONTES BELOS,"(-50.3726, -16.5211)",,,12.0,,,,,
PADRE BERNARDO,"(-48.2833, -15.1605)",,,7.0,,,,,
URUACU,"(-49.1396, -14.5238)",,,11.0,,,,,
CURRAIS NOVOS,"(-36.5146, -6.25484)",,,7.0,,,,,
DOURADOS,"(-54.812, -22.2231)",,,64.0,7.027,0.119,40.0,6.923,0.322
PONTA PORA,"(-55.7203, -22.5296)",,,14.0,7.418,0.106,16.0,7.104,0.321
SAO JOAO DOS PATOS,"(-43.7036, -6.4934)",,,4.0,,,,,
MORROS,"(-44.0357, -2.85379)",,,3.0,,,,,
CHAPADAO DO SUL,"(-52.6263, -18.788)",,,6.0,,,,,
BANDEIRANTES,"(-54.3585, -19.9275)",,,2.0,,,,,
PIO IX,"(-40.6083, -6.83002)",,,9.0,,,,,
VARZEA BRANCA,"(-42.9692, -9.238)",,,2.0,,,,,
PARAMBU,"(-40.6905, -6.20768)",,,10.0,,,,,
NOVO PROGRESSO,"(-55.3786, -7.14347)",,,21.0,,,,,
POCOS DE CALDAS,"(-46.5692, -21.78)",,,32.0,7.363,0.146,47.0,7.201,0.289
BAIA FORMOSA,"(-35.0033, -6.37161)",,,1.0,,,,,
GARIBALDI,"(-51.5352, -29.259)",,,10.0,,,,,
COIVARAS,"(-42.208, -5.09224)",,,1.0,,,,,
PIRAPORA,"(-44.934, -17.3392)",,,15.0,,,,,
CARLINDA,"(-55.8417, -9.94912)",,,4.0,,,,,
NOVA SANTA HELENA,"(-55.1872, -10.8651)",,,2.0,,,,,
JACAREZINHO,"(-49.9739, -23.1591)",,,10.0,,,,,
MARECHAL CANDIDO RONDON,"(-54.0571, -24.557)",,,18.0,7.173,0.25,21.0,7.038,0.354
PRIMAVERA DO LESTE,"(-54.2811, -15.544)",,,25.0,,,,,
ITAPERUNA,"(-41.8799, -21.1997)",,,19.0,8.155,0.123,24.0,7.223,0.399
NONOAI,"(-52.7756, -27.3689)",,,5.0,,,,,
LAURO DE FREITAS,"(-38.321, -12.8978)",,,33.0,7.951,0.036,44.0,7.661,0.481
COMODORO,"(-59.7848, -13.6614)",,,4.0,,,,,
CACERES,"(-57.6818, -16.0764)",,,17.0,7.078,0.115,52.0,7.31,0.318
FLORESTA AZUL,"(-39.6579, -14.8629)",,,2.0,,,,,
VITORIA DA CONQUISTA,"(-40.8442, -14.8615)",,,61.0,8.303,0.043,40.0,7.825,0.351
ITAPE,"(-39.4239, -14.8876)",,,3.0,,,,,
TIRADENTES DO SUL,"(-54.0814, -27.4022)",,,2.0,,,,,
COSTA RICA,"(-53.1287, -18.5432)",,,5.0,,,,,
COXIM,"(-54.751, -18.5013)",,,11.0,7.474,0.101,24.0,7.167,0.349
BOCAIUVA,"(-43.8104, -17.1135)",,,13.0,,,,,
SENADOR MODESTINO GONCALVES,"(-43.2172, -17.9465)",,,1.0,,,,,
RIOZINHO,"(-50.4488, -29.639)",,,1.0,,,,,
VACARIA,"(-50.9418, -28.5079)",,,17.0,7.204,0.155,35.0,7.178,0.491
CAMAQUA,"(-51.8043, -30.8489)",,,17.0,,,,,
JAGUARAO,"(-53.377, -32.5604)",,,8.0,,,,,
BAIXO GUANDU,"(-41.0109, -19.5213)",,,6.0,,,,,
