,position,refino,distribuicao,postos,custo_gasolina,desvio_gasolina,postos_preco,custo_diesel,desvio_diesel
MARINGA,"(-51.9333, -23.4205)",1.0,1.0,85.0,7.266,0.195,68.0,6.96,0.463
GUARAMIRIM,"(-49.0026, -26.4688)",1.0,1.0,9.0,,,,,
ASSIS CHATEAUBRIAND,"(-53.5213, -24.4168)",1.0,,19.0,7.026,0.263,39.0,6.915,0.412
CAMPO LARGO,"(-49.529, -25.4525)",1.0,,23.0,7.39,0.161,30.0,6.911,0.394
CIANORTE,"(-52.6054, -23.6599)",1.0,1.0,28.0,7.054,0.227,38.0,6.911,0.363
GUARAPUAVA,"(-51.4623, -25.3902)",1.0,1.0,50.0,6.583,0.21,69.0,6.949,0.407
IGUATEMI,"(-54.5637, -23.6736)",1.0,,3.0,,,,,
NOVA ESPERANCA,"(-52.2031, -23.182)",1.0,,8.0,,,,,
PINHAIS,"(-49.1927, -25.4429)",1.0,1.0,20.0,7.275,0.226,40.0,7.153,0.383
PONTA GROSSA,"(-50.1668, -25.0916)",1.0,,68.0,7.234,0.157,74.0,6.961,0.393
RENASCENCA,"(-52.9703, -26.1588)",1.0,1.0,2.0,,,,,
SAO MATEUS DO SUL,"(-50.384, -25.8677)",1.0,,12.0,,,,,
UMUARAMA,"(-53.3201, -23.7656)",1.0,1.0,46.0,7.096,0.121,41.0,6.926,0.357
PARANAGUA,"(-48.5225, -25.5161)",1.0,1.0,28.0,7.095,0.151,37.0,7.031,0.467
CANOAS,"(-51.1857, -29.9128)",1.0,1.0,69.0,6.606,0.16,85.0,6.778,0.357
ESTEIO,"(-51.1841, -29.852)",1.0,1.0,18.0,6.687,0.223,45.0,6.83,0.419
SANTA MARIA,"(-53.8149, -29.6868)",1.0,1.0,3.0,7.215,0.2,40.0,7.258,0.447
PASSO FUNDO,"(-52.4091, -28.2576)",1.0,1.0,48.0,6.973,0.138,45.0,7.004,0.404
TUBARAO,"(-49.0144, -28.4713)",1.0,1.0,33.0,6.808,0.162,40.0,7.017,0.376
CRUZ ALTA,"(-53.6048, -28.645)",1.0,1.0,22.0,7.234,0.106,45.0,6.928,0.377
IJUI,"(-53.92, -28.388)",1.0,1.0,28.0,7.021,0.148,29.0,7.154,0.372
RIO GRANDE,"(-52.1071, -32.0349)",1.0,1.0,43.0,6.874,0.164,67.0,7.22,0.401
LAGES,"(-50.3259, -27.815)",1.0,1.0,41.0,7.293,0.232,45.0,7.067,0.368
ICARA,"(-49.3087, -28.7132)",1.0,,23.0,,,,,
TRIUNFO,"(-51.7075, -29.9291)",1.0,1.0,3.0,,,,,
MARABA,"(-49.1327, -5.38075)",1.0,,65.0,7.436,0.215,70.0,7.595,0.42
ITAITUBA,"(-55.9926, -4.2667)",1.0,,38.0,7.232,0.171,27.0,7.301,0.321
SENADOR GUIOMARD,"(-67.7362, -10.1497)",1.0,,6.0,,,,,
BOA VISTA,"(-60.6753, 2.82384)",1.0,,71.0,7.066,0.095,57.0,7.525,0.366
RONDONOPOLIS,"(-54.6372, -16.4673)",1.0,1.0,67.0,6.983,0.126,114.0,7.457,0.34
PRESIDENTE PRUDENTE,"(-51.3925, -22.1207)",1.0,1.0,68.0,6.898,0.217,86.0,7.244,0.363
UBERLANDIA,"(-48.2749, -18.9141)",1.0,1.0,150.0,7.312,0.17,155.0,7.127,0.401
PASSOS,"(-46.609, -20.7193)",1.0,,30.0,7.23,0.277,36.0,7.112,0.396
SARANDI,"(-51.876, -23.4441)",1.0,1.0,11.0,,,,,
ITAJAI,"(-48.6705, -26.9101)",1.0,1.0,51.0,7.027,0.118,35.0,7.34,0.563
IRANI,"(-51.9012, -27.0287)",1.0,,4.0,,,,,
CHAPECO,"(-52.6152, -27.1004)",1.0,,45.0,6.992,0.113,36.0,6.945,0.307
PORTO NACIONAL,"(-48.408, -10.7027)",1.0,1.0,20.0,7.569,0.169,23.0,7.276,0.369
SENADOR CANEDO,"(-49.0914, -16.7084)",1.0,1.0,26.0,,,,,
BIGUACU,"(-48.6598, -27.496)",1.0,1.0,16.0,7.206,0.251,44.0,7.145,0.361
BRASILIA,"(-47.9297, -15.7795)",1.0,1.0,342.0,7.478,0.273,226.0,7.183,0.411
GOIANIA,"(-49.2643, -16.6864)",1.0,1.0,313.0,7.341,0.255,218.0,7.111,0.413
BARRA DO GARCAS,"(-52.264, -15.8804)",1.0,,27.0,,,,,
BARRO ALTO,"(-48.9086, -14.9658)",1.0,,4.0,,,,,
GURUPI,"(-49.068, -11.7279)",1.0,1.0,28.0,7.526,0.143,44.0,7.285,0.315
NIQUELANDIA,"(-48.4599, -14.4662)",1.0,,10.0,,,,,
JARDINOPOLIS,"(-47.7606, -21.0176)",,1.0,10.0,,,,,
MONTENEGRO,"(-51.4679, -29.6824)",,1.0,23.0,,,,,
PEDREIRAS,"(-44.6006, -4.56482)",,1.0,10.0,,,,,
VILA VELHA,"(-40.2875, -20.3417)",,1.0,68.0,7.319,0.172,62.0,6.901,0.389
SERRA,"(-40.3074, -20.121)",,1.0,60.0,7.195,0.127,57.0,6.923,0.407
BRUSQUE,"(-48.9107, -27.0977)",,1.0,32.0,7.272,0.109,40.0,7.245,0.399
PARNAMIRIM,"(-39.5795, -8.08729)",,1.0,41.0,7.494,0.229,49.0,7.509,0.358
CURITIBA,"(-49.2646, -25.4195)",,1.0,334.0,7.225,0.331,219.0,6.94,0.379
CABO DE SANTO AGOSTINHO,"(-35.0253, -8.28218)",,1.0,15.0,7.294,0.229,30.0,7.013,0.286
CORONEL BARROS,"(-54.0686, -28.3921)",,1.0,2.0,,,,,
FEIRA DE SANTANA,"(-38.9663, -12.2664)",,1.0,114.0,7.811,0.247,90.0,7.569,0.361
BAGE,"(-54.0999, -31.3297)",,1.0,26.0,7.93,0.171,45.0,7.541,0.387
LAJEADO,"(-48.3565, -9.74996)",,1.0,2.0,6.835,0.128,24.0,6.687,0.362
RECIFE,"(-34.8771, -8.04666)",,1.0,189.0,7.348,0.222,138.0,,
MARECHAL DEODORO,"(-35.8967, -9.70971)",,1.0,9.0,,,,,
MACEIO,"(-35.735, -9.66599)",,1.0,127.0,7.286,0.295,93.0,7.452,0.527
JARAGUA DO SUL,"(-49.0713, -26.4851)",,1.0,37.0,6.861,0.261,56.0,7.15,0.45
NOSSA SENHORA DO SOCORRO,"(-37.1231, -10.8468)",,1.0,15.0,7.354,0.116,43.0,7.357,0.502
VOLTA REDONDA,"(-44.0996, -22.5202)",,1.0,39.0,7.893,0.151,28.0,7.188,0.429
SALVADOR,"(-38.5011, -12.9718)",,1.0,206.0,7.858,0.257,390.0,7.581,0.489
SANTO ANDRE,"(-46.5432, -23.6737)",,1.0,1.0,6.956,0.278,104.0,7.128,0.469
SAO JOSE DO RIO PRETO,"(-49.3758, -20.8113)",,1.0,122.0,6.735,0.155,114.0,7.006,0.364
CAXIAS DO SUL,"(-51.1792, -29.1629)",,1.0,99.0,6.953,0.156,60.0,7.159,0.397
CHOROZINHO,"(-38.4986, -4.28873)",,1.0,4.0,,,,,
GOIANESIA,"(-49.1162, -15.3118)",,1.0,16.0,,,,,
ARAXA,"(-46.9438, -19.5902)",,1.0,29.0,7.664,0.165,44.0,7.276,0.373
SAO LUIS GONZAGA DO MARANHAO,"(-44.6654, -4.38541)",,1.0,3.0,,,,,
VITORIA DE SANTO ANTAO,"(-35.2976, -8.12819)",,1.0,22.0,7.22,0.177,24.0,7.383,0.092
BARRETOS,"(-48.5698, -20.5531)",,1.0,37.0,7.319,0.437,69.0,7.383,0.419
SANTA HELENA DE GOIAS,"(-50.5977, -17.8115)",,1.0,12.0,,,,,
NOSSA SENHORA DAS GRACAS,"(-51.7978, -22.9129)",,1.0,2.0,,,,,
MOSSORO,"(-37.3474, -5.18374)",,1.0,62.0,7.675,0.11,66.0,7.238,0.354
SANTA TEREZA DE GOIAS,"(-49.0144, -13.7138)",,1.0,3.0,,,,,
ITAPACI,"(-49.5511, -14.9522)",,1.0,6.0,,,,,
EDEIA,"(-49.9295, -17.3406)",,1.0,5.0,,,,,
ITUMBIARA,"(-49.2158, -18.4093)",,1.0,35.0,7.513,0.335,68.0,7.193,0.404
OURIZONA,"(-52.1964, -23.4053)",,1.0,1.0,,,,,
ITUIUTABA,"(-49.4639, -18.9772)",,1.0,33.0,7.484,0.146,54.0,7.114,0.409
EIRUNEPE,"(-69.8662, -6.65677)",,1.0,9.0,,,,,
RIO CLARO,"(-47.5546, -22.3984)",,1.0,44.0,6.685,0.199,59.0,7.062,0.381
PEDRO GOMES,"(-54.5507, -18.0996)",,1.0,4.0,,,,,
CAARAPO,"(-54.8209, -22.6368)",,1.0,7.0,,,,,
PATROCINIO PAULISTA,"(-47.2801, -20.6384)",,1.0,5.0,,,,,
RIO BRANCO DO SUL,"(-49.3115, -25.1892)",,1.0,5.0,,,,,
JUSSARA,"(-50.8668, -15.8659)",,1.0,5.0,,,,,
PALMAS DE MONTE ALTO,"(-43.1609, -14.2676)",,1.0,3.0,,,,,
RIO VERDE,"(-50.9192, -17.7923)",,1.0,61.0,7.414,0.16,64.0,7.258,0.411
ARAGUAINA,"(-48.2044, -7.19238)",,1.0,40.0,7.427,0.114,20.0,6.998,0.371
ARMACAO DOS BUZIOS,"(-41.8846, -22.7528)",,1.0,9.0,,,,,
CABO FRIO,"(-42.0286, -22.8894)",,1.0,27.0,8.003,0.147,30.0,7.236,0.397
QUIXADA,"(-39.0155, -4.9663)",,1.0,20.0,7.438,0.252,10.0,7.29,0.424
PIRAJU,"(-49.3803, -23.1981)",,1.0,11.0,,,,,
SAO SEBASTIAO DA BOA VISTA,"(-49.5249, -1.71597)",,1.0,7.0,,,,,
PRATA,"(-48.9276, -19.3086)",,1.0,1.0,,,,,
ANAPOLIS,"(-48.953, -16.3281)",,1.0,84.0,7.329,0.19,59.0,7.114,0.378
TUCURUI,"(-49.6773, -3.7657)",,1.0,15.0,,,,,
PIRACANJUBA,"(-49.017, -17.302)",,1.0,9.0,,,,,
ANASTACIO,"(-55.8104, -20.4823)",,1.0,7.0,,,,,
BREU BRANCO,"(-49.5735, -3.77191)",,1.0,9.0,,,,,
CAUCAIA,"(-38.6619, -3.72797)",,1.0,52.0,7.392,0.309,105.0,7.546,0.353
PAULO RAMOS,"(-45.2398, -4.44485)",,1.0,5.0,,,,,
RANCHARIA,"(-50.893, -22.2269)",,1.0,12.0,,,,,
RIACHAO DAS NEVES,"(-44.9143, -11.7508)",,1.0,9.0,,,,,
SAO JOSE DE RIBAMAR,"(-44.0597, -2.54704)",,1.0,35.0,6.945,0.116,45.0,7.096,0.303
CAXIAS,"(-43.3617, -4.86505)",,1.0,29.0,7.14,0.146,35.0,7.216,0.322
RAUL SOARES,"(-42.4502, -20.1061)",,1.0,7.0,,,,,
SIMOES FILHO,"(-38.4029, -12.7866)",,1.0,18.0,7.939,0.045,36.0,7.684,0.495
TARABAI,"(-51.5621, -22.3016)",,1.0,3.0,,,,,
ITAPARICA,"(-38.68, -12.8932)",,1.0,3.0,,,,,
PALHOCA,"(-48.6697, -27.6455)",,1.0,36.0,7.302,0.187,63.0,7.222,0.375
DAMOLANDIA,"(-49.3631, -16.2544)",,1.0,1.0,,,,,
BENEDITO NOVO,"(-49.3593, -26.781)",,1.0,4.0,,,,,
SAO BENTO DO SUL,"(-49.3831, -26.2495)",,1.0,18.0,,,,,
BOM JESUS DE GOIAS,"(-49.74, -18.2173)",,1.0,,,,,,
BRAZABRANTES,"(-49.3863, -16.4281)",,1.0,2.0,,,,,
LEOPOLDO DE BULHOES,"(-48.7428, -16.619)",,1.0,3.0,,,,,
BAIANOPOLIS,"(-44.5388, -12.3016)",,1.0,7.0,,,,,
FLORIDA PAULISTA,"(-51.1724, -21.6127)",,1.0,3.0,,,,,
COTRIGUACU,"(-58.4192, -9.85656)",,1.0,6.0,,,,,
DIONISIO CERQUEIRA,"(-53.6351, -26.2648)",,,4.0,,,,,
SAO MIGUEL DO OESTE,"(-53.5163, -26.7242)",,,13.0,,,,,
GUARACIABA,"(-53.5243, -26.6042)",,,2.0,,,,,
BARRACAO,"(-53.6324, -26.2502)",,,6.0,,,,,
TANGARA,"(-51.2473, -27.0996)",,,4.0,,,,,
