MUNICIPIO ORIGEM,UF ORIGEM,MUNICIPIO DESTINO,UF DESTINO,VOLUME (M3),%
CUBATAO,SP,SENADOR CANEDO,GO,32625,0.000509004
MARINGA,PR,ARAUCARIA,PR,32374,0.000505088
CABO DE SANTO AGOSTINHO,PE,SAO FRANCISCO DO CONDE,BA,31255,0.00048763
CANDEIAS,BA,SENADOR CANEDO,GO,28786,0.000449109
RIO GRANDE,RS,CORONEL BARROS,RS,28604,0.00044627
RIBEIRAO PRETO,SP,SAO PAULO,SP,28258,0.000440872
PASSO FUNDO,RS,CANOAS,RS,26904,0.000419747
GUARULHOS,SP,RIBEIRAO PRETO,SP,26504,0.000413506
GUARAMIRIM,SC,TUBARAO,SC,25600,0.000399402
SANTO ANDRE,SP,PAULINIA,SP,25267,0.000394207
SANTO ANDRE,SP,BAURU,SP,24756,0.000386235
SAO JOSE DOS CAMPOS,SP,RIBEIRAO PRETO,SP,24629,0.000384253
CAMACARI,BA,LAJEADO,RS,24173,0.000377139
PARANAGUA,PR,MARINGA,PR,23840,0.000371943
RECIFE,PE,UBERLANDIA,MG,23602,0.00036823
PAULINIA,SP,JARDINOPOLIS,SP,23332,0.000364018
PASSO FUNDO,RS,PASSO FUNDO,RS,23069,0.000359915
PARANAGUA,PR,SARANDI,PR,22828,0.000356155
TRIUNFO,RS,CASCAVEL,PR,22824,0.000356092
SANTO ANDRE,SP,PRESIDENTE PRUDENTE,SP,22264,0.000347355
RIO GRANDE,RS,IJUI,RS,22217,0.000346622
GUARULHOS,SP,JARDINOPOLIS,SP,21853,0.000340943
IPOJUCA,PE,CHA DE ALEGRIA,PE,21726,0.000338962
GOIANESIA,GO,BRASILIA,DF,21292,0.00033219
ITACOATIARA,AM,MANAUS,AM,21270,0.000331847
CAMACARI,BA,FEIRA DE SANTANA,BA,21219,0.000331052
ITAJAI,SC,BRUSQUE,SC,20997,0.000327588
CANDEIAS,BA,CANDEIAS,BA,20602,0.000321425
CANOAS,RS,TRIUNFO,RS,19988,0.000311846
CURITIBA,PR,MARINGA,PR,18680,0.000291439
RIO GRANDE,RS,SANTA MARIA,RS,18297,0.000285463
CURITIBA,PR,LONDRINA,PR,18280,0.000285198
PAULINIA,SP,RIBEIRAO PRETO,SP,17652,0.0002754
CABO DE SANTO AGOSTINHO,PE,SENADOR CANEDO,GO,17470,0.000272561
RIO GRANDE,RS,SARANDI,PR,16958,0.000264573
GUARAMIRIM,SC,JARAGUA DO SUL,SC,16893,0.000263559
PARANAGUA,PR,RIBEIRAO PRETO,SP,16708,0.000260672
CURITIBA,PR,CASCAVEL,PR,16112,0.000251374
CAMACARI,BA,LUIS EDUARDO MAGALHAES,BA,16059,0.000250547
SAO FRANCISCO DO CONDE,BA,SENADOR CANEDO,GO,15131,0.000236069
SAO PAULO,SP,PRESIDENTE PRUDENTE,SP,15128,0.000236022
PASSO FUNDO,RS,ESTEIO,RS,14929,0.000232917
ARAUCARIA,PR,LONDRINA,PR,14920,0.000232777
TRIUNFO,RS,CRUZ ALTA,RS,14616,0.000228034
PASSO FUNDO,RS,IJUI,RS,13973,0.000218002
RECIFE,PE,CABEDELO,PB,13654,0.000213025
CABO DE SANTO AGOSTINHO,PE,GUARULHOS,SP,13371,0.00020861
RECIFE,PE,CANDEIAS,BA,12838,0.000200294
TRIUNFO,RS,SANTA MARIA,RS,12712,0.000198328
SAO JOSE DOS CAMPOS,SP,JARDINOPOLIS,SP,12690,0.000197985
SAO FRANCISCO DO CONDE,BA,VITORIA,ES,12605,0.000196659
CURITIBA,PR,PINHAIS,PR,12450,0.000194241
GUARAMIRIM,SC,ITAJAI,SC,12008,0.000187345
CANDEIAS,BA,UBERLANDIA,MG,11721,0.000182867
CABO DE SANTO AGOSTINHO,PE,BELEM,PA,11713,0.000182742
CANDEIAS,BA,SAO FRANCISCO DO CONDE,BA,11337,0.000176876
SAO FRANCISCO DO CONDE,BA,GOIANIA,GO,11051,0.000172414
RIBEIRAO PRETO,SP,JARDINOPOLIS,SP,10630,0.000165846
CAMACARI,BA,JUAZEIRO,BA,10511,0.000163989
SANTO ANDRE,SP,OURINHOS,SP,9993,0.000155907
CAMACARI,BA,NOSSA SENHORA DO SOCORRO,SE,9933,0.000154971
CABO DE SANTO AGOSTINHO,PE,CANDEIAS,BA,9658,0.000150681
SAO PAULO,SP,BETIM,MG,9502,0.000148247
CABO DE SANTO AGOSTINHO,PE,GOIANIA,GO,9367,0.000146141
BIGUACU,SC,TUBARAO,SC,9365,0.000146109
PORTO NACIONAL,TO,PORTO NACIONAL,TO,9261,0.000144487
ARAUCARIA,PR,MARINGA,PR,8900,0.000138855
PARANAGUA,PR,GUARULHOS,SP,8181,0.000127637
SANTO ANDRE,SP,SAO PAULO,SP,7998,0.000124782
RIBEIRAO PRETO,SP,PAULINIA,SP,7919,0.00012355
PARANAGUA,PR,CASCAVEL,PR,6537,0.000101988
SANTO ANDRE,SP,ARACATUBA,SP,6468,0.000100912
PARANAGUA,PR,OURINHOS,SP,6425,0.000100241
TRIUNFO,RS,GUARAPUAVA,PR,6036,9.41716E-05
CABO DE SANTO AGOSTINHO,PE,CUBATAO,SP,5991,9.34695E-05
SANTO ANDRE,SP,CUBATAO,SP,5942,9.2705E-05
SANTOS,SP,SAO PAULO,SP,5615,8.76033E-05
PAULINIA,SP,SAO PAULO,SP,4926,7.68538E-05
CABO DE SANTO AGOSTINHO,PE,SANTA MARIA,RS,4853,7.57148E-05
CABO DE SANTO AGOSTINHO,PE,PAULINIA,SP,4623,7.21265E-05
TRIUNFO,RS,RENASCENCA,PR,4620,7.20796E-05
PARANAGUA,PR,LONDRINA,PR,4128,6.44036E-05
SAO PAULO,SP,SAO JOSE DOS CAMPOS,SP,3996,6.23442E-05
CURITIBA,PR,PAULINIA,SP,3918,6.11273E-05
SALVADOR,BA,CANDEIAS,BA,3871,6.0394E-05
CABO DE SANTO AGOSTINHO,PE,RIO GRANDE,RS,3713,5.79289E-05
SAO PAULO,SP,BAURU,SP,3554,5.54483E-05
SAO PAULO,SP,JARDINOPOLIS,SP,3388,5.28584E-05
