,position,postos,custo_gasolina,desvio_gasolina,postos_preco,custo_diesel,desvio_diesel
CONS PIRITIBA,"(-40.5587, -11.73)",21.0,,,,,
CONS QUIPAPA,"(-36.0137, -8.81175)",11.0,,,,,
CONS GARANHUNS,"(-36.4966, -8.88243)",5.0,7.2,0.197,48.0,7.29,0.566
CONS CORRENTES,"(-36.3244, -9.12117)",19.0,,,,,
CONS SAO JOSE DA LAJE,"(-36.0515, -9.01278)",3.0,,,,,
CONS XEXEU,"(-35.6212, -8.8046)",12.0,,,,,
CONS MACEIO,"(-35.735, -9.66599)",5.0,7.286,0.295,93.0,7.452,0.527
CONS EXU,"(-39.7238, -7.50364)",9.0,,,,,
CONS OURICURI,"(-40.08, -7.87918)",19.0,,,,,
CONS JUAZEIRO DO NORTE,"(-39.3076, -7.19621)",7.0,7.572,0.243,41.0,7.544,0.445
CONS FARIAS BRITO,"(-39.5651, -6.92146)",4.0,,,,,
CONS LAGOA GRANDE,"(-40.2767, -8.99452)",19.0,,,,,
CONS BURITICUPU,"(-46.4409, -4.32375)",19.0,,,,,
CONS ALTO PARNAIBA,"(-45.9303, -9.10273)",19.0,,,,,
CONS PALMARES,"(-35.589, -8.68423)",10.0,,,,,
CONS BARREIROS,"(-35.1832, -8.81605)",15.0,,,,,
CONS CARMO,"(-42.6046, -21.931)",4.0,,,,,
CONS NOVA FRIBURGO,"(-42.5377, -22.2932)",38.0,7.776,0.191,68.0,7.026,0.303
CONS TERESOPOLIS,"(-42.9752, -22.4165)",38.0,7.534,0.193,56.0,,
CONS SANTO ANTONIO DE PADUA,"(-42.1832, -21.541)",8.0,7.813,0.134,20.0,6.904,0.304
CONS ALEM PARAIBA,"(-42.7176, -21.8797)",3.0,,,,,
CONS SIMAO PEREIRA,"(-43.3088, -21.964)",15.0,,,,,
CONS VOLTA REDONDA,"(-44.0996, -22.5202)",4.0,7.893,0.151,28.0,7.188,0.429
CONS RESENDE,"(-44.4509, -22.4705)",4.0,7.731,0.129,54.0,7.105,0.317
CONS ITABORAI,"(-42.8639, -22.7565)",31.0,7.578,0.189,36.0,7.03,0.399
CONS CRUZEIRO DO SUL,"(-72.6756, -7.62762)",30.0,7.925,0.187,50.0,8.555,0.323
CONS ACRELANDIA,"(-66.8972, -9.82581)",30.0,,,,,
CONS PALMEIRANTE,"(-47.9242, -7.84786)",1.0,,,,,
CONS COUTO MAGALHAES,"(-49.2473, -8.28411)",1.0,,,,,
CONS FILADELFIA,"(-47.4954, -7.33501)",40.0,,,,,
CONS CONCEICAO DO ARAGUAIA,"(-49.2689, -8.26136)",5.0,8.067,0.247,24.0,7.951,0.381
CONS GUARAI,"(array([-48.5114]), array([-8.83543]))",,,,,,
CONS PANTANO GRANDE,"(-52.3729, -30.1902)",47.0,,,,,
CONS CANGUCU,"(-52.6783, -31.396)",4.0,,,,,
CONS ELISEU MARTINS,"(-43.6705, -8.09629)",4.0,,,,,
CONS SAO JOAO DO PIAUI,"(-42.2559, -8.35466)",3.0,,,,,
CONS BERTOLINIA,"(-43.9498, -7.63338)",10.0,,,,,
CONS ARIQUEMES,"(-63.0325, -9.90571)",29.0,7.298,0.155,35.0,7.583,0.293
CONS MONTE NEGRO,"(-63.29, -10.2458)",29.0,,,,,
CONS INGA,"(-35.605, -7.28144)",3.0,,,,,
CONS JURIPIRANGA,"(-35.2321, -7.36176)",3.0,,,,,
CONS ALCANTIL,"(-36.0511, -7.73668)",2.0,,,,,
CONS TANHACU,"(-41.2473, -14.0197)",9.0,,,,,
CONS ANAGE,"(-41.1356, -14.6151)",5.0,,,,,
CONS CARINHANHA,"(-43.7724, -14.2985)",17.0,,,,,
CONS MARABA,"(-49.1327, -5.38075)",8.0,7.436,0.215,70.0,7.595,0.42
CONS REDENCAO,"(-50.0317, -8.02529)",5.0,7.82,0.124,12.0,7.632,0.347
CONS SAO GERALDO DO ARAGUAIA,"(-48.5592, -6.39471)",65.0,,,,,
CONS SANTANA DO ARAGUAIA,"(-50.35, -9.3281)",5.0,,,,,
CONS ABADIA DOS DOURADOS,"(-47.3916, -18.4831)",4.0,,,,,
CONS ROMARIA,"(-47.5782, -18.8838)",4.0,,,,,
CONS CATALAO,"(-47.944, -18.1656)",84.0,7.444,0.096,38.0,7.208,0.413
CONS PATROCINIO,"(-46.9934, -18.9379)",18.0,7.736,0.219,35.0,7.388,0.392
CONS COROMANDEL,"(-47.1933, -18.4734)",4.0,,,,,
CONS PERDIZES,"(-47.2963, -19.3434)",23.0,,,,,
CONS PATOS DE MINAS,"(-46.5013, -18.5699)",36.0,7.632,0.126,40.0,7.29,0.415
CONS ARAXA,"(-46.9438, -19.5902)",4.0,7.664,0.165,44.0,7.276,0.373
CONS ITAPORANGA,"(-49.4819, -23.7043)",177.0,,,,,
CONS CONCEICAO,"(-38.5014, -7.55106)",19.0,,,,,
CONS MARIZOPOLIS,"(-38.3528, -6.82748)",6.0,,,,,
CONS PERDOES,"(-45.0896, -21.0932)",36.0,,,,,
CONS ARAPUA,"(-46.1484, -19.0268)",36.0,,,,,
CONS MARACAS,"(-40.4323, -13.4355)",9.0,,,,,
CONS JAGUAQUARA,"(-39.964, -13.5248)",14.0,8.084,0.159,27.0,7.677,0.404
CONS UBAITABA,"(-39.3222, -14.303)",40.0,,,,,
CONS AGUA DOCE,"(-51.5528, -26.9985)",5.0,,,,,
CONS SANTA CECILIA,"(-50.4252, -26.9592)",5.0,,,,,
CONS GENERAL CARNEIRO,"(-51.3172, -26.425)",10.0,,,,,
CONS TUTOIA,"(-42.2755, -2.76141)",18.0,,,,,
CONS BREJO,"(-42.7527, -3.67796)",18.0,,,,,
CONS BURITI DOS LOPES,"(-41.8695, -3.18259)",10.0,,,,,
CONS BARREIRINHAS,"(-42.8232, -2.75863)",6.0,,,,,
CONS JATAI,"(-51.7204, -17.8784)",2.0,7.628,0.209,48.0,7.265,0.362
CONS APORE,"(-51.9232, -18.9607)",30.0,,,,,
CONS CHAPADAO DO CEU,"(-52.549, -18.4073)",30.0,,,,,
CONS SAO SIMAO,"(-50.547, -18.996)",15.0,,,,,
CONS ASSUNCAO,"(-36.725, -7.07231)",1.0,,,,,
CONS TEIXEIRA,"(-37.2525, -7.22104)",1.0,,,,,
CONS PARANA,"(-47.8734, -12.6167)",2.0,,,,,
CONS JAU DO TOCANTINS,"(-48.589, -12.6509)",4.0,,,,,
CONS GOVERNADOR NUNES FREIRE,"(-45.8777, -2.12899)",8.0,,,,,
CONS ALCANTARA,"(-44.4062, -2.39574)",8.0,,,,,
CONS INOCENCIA,"(-51.9281, -19.7277)",12.0,,,,,
CONS AGUA CLARA,"(-52.879, -20.4452)",5.0,,,,,
CONS CASSILANDIA,"(-51.7313, -19.1179)",5.0,,,,,
CONS ITARUMA,"(-51.3485, -18.7646)",35.0,,,,,
CONS BRASILANDIA,"(-52.0365, -21.2544)",5.0,,,,,
CONS MONTIVIDIU DO NORTE,"(-48.6853, -13.3485)",3.0,,,,,
CONS FORMOSO,"(-48.8775, -13.6499)",3.0,,,,,
CONS PORANGATU,"(-49.1503, -13.4391)",18.0,7.929,0.096,18.0,7.503,0.367
CONS ANAPOLIS,"(-48.953, -16.3281)",18.0,7.329,0.19,59.0,7.114,0.378
CONS TALISMA,"(-49.0896, -12.7949)",3.0,,,,,
CONS BARRA MANSA,"(-44.1752, -22.5481)",30.0,7.901,0.194,50.0,7.245,0.383
CONS ANGRA DOS REIS,"(-44.3196, -23.0011)",30.0,8.324,0.217,27.0,7.235,0.598
CONS ITAGUAI,"(-43.7798, -22.8636)",31.0,7.757,0.319,28.0,7.222,0.677
CONS SAO VICENTE DO SUL,"(-54.6826, -29.6882)",3.0,,,,,
CONS ROSARIO DO SUL,"(-54.9221, -30.2515)",3.0,,,,,
CONS SERTANIA,"(-37.2684, -8.06847)",3.0,,,,,
CONS MONTEIRO,"(-37.1184, -7.88363)",71.0,,,,,
CONS IBIMIRIM,"(-37.7032, -8.54026)",6.0,,,,,
CONS FLORESTA,"(-38.5687, -8.60307)",6.0,,,,,
CONS ITAIBA,"(-37.4173, -8.94569)",77.0,,,,,
CONS INAJA,"(-37.8351, -8.90206)",9.0,,,,,
CONS PARANAIBA,"(-51.1909, -19.6746)",12.0,,,,,
CONS CARNEIRINHO,"(-50.6894, -19.6987)",150.0,,,,,
CONS CACADOR,"(-51.012, -26.7757)",16.0,7.39,0.216,34.0,7.312,0.369
CONS PORTO UNIAO,"(-51.0759, -26.2451)",10.0,,,,,
CONS UNIAO DA VITORIA,"(-51.0873, -26.2273)",2.0,7.331,0.157,32.0,7.189,0.407
CONS ARAGARCAS,"(-52.2372, -15.8955)",5.0,,,,,
CONS PONTAL DO ARAGUAIA,"(-52.3273, -15.9274)",6.0,,,,,
CONS MOITA BONITA,"(-37.3512, -10.5769)",2.0,,,,,
CONS TOBIAS BARRETO,"(-37.9995, -11.1798)",2.0,,,,,
CONS ITAPORANGA D'AJUDA,"(-37.3078, -10.99)",4.0,,,,,
CONS ARACAJU,"(-37.0677, -10.9091)",4.0,7.283,0.143,84.0,7.34,0.212
CONS PORTO REAL DO COLEGIO,"(-36.8376, -10.1849)",3.0,,,,,
CONS JOIA,"(-54.1141, -28.6435)",4.0,,,,,
CONS ALEGRETE,"(-55.7949, -29.7902)",4.0,7.143,0.247,28.0,7.233,0.395
CONS SANTO ANGELO,"(-54.2668, -28.3001)",3.0,7.333,0.143,28.0,7.254,0.456
CONS CURURUPU,"(-44.8644, -1.81475)",8.0,,,,,
CONS PINHEIRO,"(-45.0788, -2.52224)",8.0,7.575,0.148,23.0,7.666,0.394
CONS CAJAZEIRAS,"(-38.5577, -6.88004)",19.0,,,,,
CONS LUIS GOMES,"(-38.3899, -6.40588)",62.0,,,,,
CONS BREJINHO,"(-37.2865, -7.34694)",3.0,,,,,
CONS FREDERICO WESTPHALEN,"(-53.3958, -27.3586)",11.0,,,,,
CONS TRES PASSOS,"(-53.9296, -27.4555)",10.0,,,,,
CONS PALMITOS,"(-53.1586, -27.0702)",3.0,,,,,
CONS PALMEIRA DAS MISSOES,"(-53.3134, -27.9007)",2.0,,,,,
CONS SANTO CRISTO,"(-54.662, -27.8263)",10.0,,,,,
CONS CHAPECO,"(-52.6152, -27.1004)",11.0,6.992,0.113,36.0,6.945,0.307
CONS COCALZINHO DE GOIAS,"(-48.7747, -15.7914)",21.0,,,,,
CONS ITUMBIARA,"(-49.2158, -18.4093)",61.0,7.513,0.335,68.0,7.193,0.404
CONS URUTAI,"(-48.2015, -17.4651)",313.0,,,,,
CONS PIRACANJUBA,"(-49.017, -17.302)",9.0,,,,,
CONS CONSELHEIRO LAFAIETE,"(-43.7846, -20.6634)",23.0,7.749,0.099,25.0,7.2,0.386
CONS VICOSA,"(-42.8742, -20.7559)",23.0,7.633,0.121,26.0,7.92,0.0
CONS SAO JOAO DEL REI,"(-44.2526, -21.1311)",21.0,7.516,0.162,20.0,7.299,0.398
CONS BARBACENA,"(-43.7703, -21.2214)",21.0,7.519,0.164,30.0,7.31,0.318
CONS MARIANA,"(-43.414, -20.3765)",20.0,,,,,
CONS PONTE NOVA,"(-42.8978, -20.4111)",8.0,,,,,
CONS DOM SILVERIO,"(-42.9627, -20.1627)",14.0,,,,,
CONS ARENAPOLIS,"(-56.8437, -14.4472)",9.0,,,,,
CONS BARRA DO BUGRES,"(-57.1878, -15.0702)",12.0,,,,,
CONS DIAMANTINO,"(-56.4366, -14.4037)",4.0,,,,,
CONS JANGADA,"(-56.4917, -15.235)",12.0,,,,,
CONS CABO DE SANTO AGOSTINHO,"(-35.0253, -8.28218)",15.0,7.294,0.229,30.0,7.013,0.286
CONS JABOATAO DOS GUARARAPES,"(-35.015, -8.11298)",10.0,7.324,0.219,39.0,7.138,0.405
CONS POUSO ALEGRE,"(-45.9389, -22.2266)",28.0,7.426,0.167,19.0,7.14,0.3
CONS JACUTINGA,"(-46.6166, -22.286)",30.0,,,,,
CONS DELFIM MOREIRA,"(-45.2792, -22.5036)",32.0,,,,,
CONS UBA,"(-42.9359, -21.1204)",16.0,7.619,0.053,28.0,7.234,0.395
CONS MERCES,"(-43.3337, -21.1976)",16.0,,,,,
CONS VISCONDE DO RIO BRANCO,"(-42.8361, -21.0127)",9.0,,,,,
CONS CARPINA,"(-35.2514, -7.84566)",8.0,,,,,
CONS VERTENTES,"(-35.9681, -7.90158)",8.0,,,,,
CONS CAAPORA,"(-34.9055, -7.51351)",1.0,,,,,
CONS NOVO CABRAIS,"(-52.9489, -29.7338)",2.0,,,,,
CONS PARAISO DO SUL,"(-53.144, -29.6717)",23.0,,,,,
CONS ACEGUA,"(-54.1615, -31.8665)",2.0,,,,,
CONS PALMAS,"(-48.3558, -10.24)",3.0,7.427,0.197,42.0,7.188,0.369
CONS SILVANOPOLIS,"(-48.1694, -11.1471)",2.0,,,,,
CONS SAO LOURENCO DO OESTE,"(-52.8498, -26.3557)",11.0,,,,,
CONS CHOPINZINHO,"(-52.5173, -25.8515)",8.0,,,,,
CONS CORONEL VIVIDA,"(-52.5641, -25.9767)",8.0,,,,,
CONS ABAETE,"(-45.4444, -19.1551)",7.0,,,,,
CONS PARA DE MINAS,"(-44.6114, -19.8534)",7.0,7.455,0.157,26.0,7.344,0.421
CONS QUIRINOPOLIS,"(-50.4547, -18.4472)",15.0,,,,,
CONS SANTA VITORIA,"(-50.1208, -18.8414)",6.0,,,,,
CONS ITUIUTABA,"(-49.4639, -18.9772)",3.0,7.484,0.146,54.0,7.114,0.409
CONS PLANURA,"(-48.7, -20.1376)",6.0,,,,,
CONS UBERABA,"(-47.9381, -19.7472)",74.0,7.476,0.202,92.0,7.211,0.392
CONS NOVA PONTE,"(-47.6779, -19.1461)",4.0,,,,,
CONS DELTA,"(-47.7841, -19.9721)",33.0,,,,,
CONS CAPIM GROSSO,"(-40.0089, -11.3797)",46.0,,,,,
CONS BOA VISTA DO TUPIM,"(-40.6064, -12.6498)",14.0,,,,,
CONS CAMPANHA,"(-45.4004, -21.836)",8.0,,,,,
CONS CAXAMBU,"(-44.9319, -21.9753)",18.0,,,,,
CONS CRUZILIA,"(-44.8067, -21.84)",2.0,,,,,
CONS ALFENAS,"(-45.9477, -21.4256)",28.0,7.683,0.246,30.0,7.269,0.336
CONS POUSO ALTO,"(-44.9748, -22.1964)",6.0,,,,,
CONS ITAMONTE,"(-44.868, -22.2859)",4.0,,,,,
CONS TRES CORACOES,"(-45.2511, -21.6921)",21.0,7.904,0.28,28.0,7.616,0.441
CONS PEIXE,"(-48.5395, -12.0254)",4.0,,,,,
CONS ARAGUACU,"(-49.8231, -12.9289)",4.0,,,,,
CONS TOLEDO,"(-53.7412, -24.7246)",2.0,6.992,0.204,38.0,7.034,0.378
CONS SANTA HELENA,"(-54.336, -24.8585)",2.0,,,,,
CONS MEDIANEIRA,"(-54.0943, -25.2977)",18.0,,,,,
CONS SANTO ANTONIO DA PLATINA,"(-50.0815, -23.2959)",10.0,7.304,0.105,40.0,7.192,0.323
CONS JAGUARIAIVA,"(-49.7066, -24.2439)",12.0,,,,,
CONS SANTA CRUZ DO RIO PARDO,"(-49.6354, -22.8988)",5.0,7.11,0.302,45.0,7.123,0.412
CONS IPIRANGA,"(-50.5794, -25.0238)",12.0,,,,,
CONS ITAPETININGA,"(-48.0483, -23.5886)",42.0,6.952,0.49,61.0,7.294,0.418
CONS ASSIS,"(-50.4183, -22.66)",8.0,6.994,0.424,120.0,7.296,0.495
CONS MACAPA,"(-51.0694, 0.034934)",1.0,6.404,0.257,95.0,7.097,0.396
CONS MAZAGAO,"(-51.2891, -0.11336)",77.0,,,,,
CONS TAILANDIA,"(-48.9489, -2.94584)",17.0,,,,,
CONS TRES COROAS,"(-50.7739, -29.5137)",5.0,,,,,
CONS GRAVATAI,"(-50.9869, -29.9413)",44.0,6.674,0.144,60.0,6.638,0.352
CONS CAXIAS DO SUL,"(-51.1792, -29.1629)",4.0,6.953,0.156,60.0,7.159,0.397
CONS SAO FRANCISCO DE PAULA,"(-50.5828, -29.4404)",8.0,,,,,
CONS NOVO HAMBURGO,"(-51.1328, -29.6875)",1.0,6.533,0.161,70.0,6.646,0.346
CONS PORTO ALEGRE,"(-51.2065, -30.0318)",27.0,6.87,0.131,187.0,6.936,0.425
CONS OSORIO,"(-50.2667, -29.8881)",16.0,6.856,0.157,24.0,6.883,0.367
CONS TRAMANDAI,"(-50.1322, -29.9841)",44.0,,,,,
CONS BALNEARIO PINHAL,"(-50.2337, -30.2419)",31.0,,,,,
CONS MACAU,"(-36.6318, -5.10795)",7.0,,,,,
CONS ITAJA,"(-36.8712, -5.63894)",7.0,,,,,
CONS NATAL,"(-35.1986, -5.79357)",107.0,7.549,0.279,99.0,7.393,0.453
CONS MADRE DE DEUS DE MINAS,"(-44.3287, -21.483)",2.0,,,,,
CONS ESPERA FELIZ,"(-41.9119, -20.6508)",5.0,,,,,
CONS FERVEDOURO,"(-42.279, -20.726)",5.0,,,,,
CONS PATROCINIO DO MURIAE,"(-42.2125, -21.1544)",6.0,,,,,
CONS MARTINS SOARES,"(-41.8786, -20.2546)",14.0,,,,,
CONS MIMOSO DO SUL,"(-41.3615, -21.0628)",6.0,,,,,
CONS BOM JESUS DA LAPA,"(-43.4108, -13.2506)",4.0,,,,,
CONS CAETITE,"(-42.4861, -14.0684)",18.0,8.337,0.223,30.0,8.207,0.412
CONS JABORANDI,"(-44.4255, -13.6071)",9.0,,,,,
CONS CAPIVARI DO SUL,"(-50.5152, -30.1383)",2.0,,,,,
CONS SAO JOSE DO NORTE,"(-52.0331, -32.0151)",2.0,,,,,
CONS PRESIDENTE FIGUEIREDO,"(-60.0234, -2.02981)",8.0,,,,,
CONS BORBA,"(-59.5874, -4.39154)",8.0,,,,,
CONS NOVA VENECIA,"(-40.4053, -18.715)",6.0,,,,,
CONS SAO DOMINGOS DO NORTE,"(-40.6281, -19.1452)",4.0,,,,,
CONS BARRA DE SAO FRANCISCO,"(-40.8965, -18.7548)",29.0,,,,,
CONS AIMORES,"(-41.0746, -19.5007)",58.0,,,,,
CONS JOAO NEIVA,"(-40.386, -19.7577)",6.0,,,,,
CONS COLATINA,"(-40.6269, -19.5493)",4.0,7.659,0.143,17.0,7.077,0.537
CONS CONGONHAS,"(-43.851, -20.4958)",12.0,7.62,0.145,26.0,7.114,0.451
CONS CONTAGEM,"(-44.0539, -19.9321)",58.0,7.393,0.128,84.0,7.046,0.363
CONS APARECIDA DO RIO NEGRO,"(-47.9638, -9.94139)",3.0,,,,,
CONS MANTENA,"(-40.9874, -18.7761)",9.0,,,,,
CONS GALILEIA,"(-41.5387, -19.0005)",9.0,,,,,
CONS SENADOR GUIOMARD,"(-67.7362, -10.1497)",6.0,,,,,
CONS ASSIS BRASIL,"(-69.5738, -10.9298)",6.0,,,,,
CONS SAO GONCALO,"(-43.0634, -22.8268)",18.0,7.578,0.169,72.0,6.896,0.399
CONS RIO DE JANEIRO,"(-43.2003, -22.9129)",3.0,7.656,0.23,356.0,7.057,0.435
CONS JAIBA,"(-43.6688, -15.3432)",6.0,,,,,
CONS JANAUBA,"(-43.3132, -15.8022)",6.0,7.811,0.182,35.0,7.374,0.36
CONS GUARDA-MOR,"(-47.0998, -17.7673)",3.0,,,,,
CONS BOCA DO ACRE,"(-67.3919, -8.74232)",10.0,,,,,
CONS LABREA,"(-64.7948, -7.26413)",10.0,,,,,
CONS ARCOVERDE,"(-37.0577, -8.41519)",19.0,7.508,0.135,32.0,7.59,0.0
CONS GENTIO DO OURO,"(-42.5077, -11.4342)",4.0,,,,,
CONS XIQUE-XIQUE,"(-42.7245, -10.823)",7.0,,,,,
CONS PALMITAL,"(-52.2029, -24.8853)",9.0,,,,,
CONS LARANJEIRAS DO SUL,"(-52.4109, -25.4077)",8.0,,,,,
CONS NOVA TEBAS,"(-51.9454, -24.438)",24.0,,,,,
CONS CANDOI,"(-52.0409, -25.5758)",8.0,,,,,
CONS UNAI,"(-46.9022, -16.3592)",18.0,7.942,0.215,49.0,7.531,0.343
CONS BONFINOPOLIS DE MINAS,"(-45.9839, -16.568)",18.0,,,,,
CONS ESPINOSA,"(-42.809, -14.9249)",9.0,,,,,
CONS FRANCISCO SA,"(-43.4896, -16.4827)",9.0,,,,,
CONS URANDI,"(-42.6498, -14.7678)",18.0,,,,,
CONS IMBITUVA,"(-50.5989, -25.2285)",7.0,,,,,
CONS PONTA GROSSA,"(-50.1668, -25.0916)",3.0,7.234,0.157,74.0,6.961,0.393
CONS SANTO ANTONIO DE JESUS,"(-39.2584, -12.9614)",14.0,7.941,0.089,28.0,7.672,0.355
CONS NAZARE,"(-39.0108, -13.0235)",3.0,,,,,
CONS RAFAEL JAMBEIRO,"(-39.5007, -12.4053)",33.0,,,,,
CONS OLIVEIRA,"(-44.829, -20.6982)",15.0,7.419,0.202,45.0,7.192,0.326
CONS GUARATINGUETA,"(-45.1938, -22.8075)",25.0,6.807,0.216,29.0,7.255,0.293
CONS CUNHA,"(-44.9576, -23.0731)",25.0,,,,,
CONS PARATY,"(-44.7175, -23.2221)",656.0,,,,,
CONS UBATUBA,"(-45.0834, -23.4332)",62.0,6.944,0.152,45.0,7.34,0.3
CONS MIRACATU,"(-47.4625, -24.2766)",28.0,,,,,
CONS CARAGUATATUBA,"(-45.4125, -23.6125)",129.0,7.061,0.124,37.0,7.262,0.392
CONS CAREIRO DA VARZEA,"(-59.5557, -3.314)",6.0,,,,,
CONS CANUTAMA,"(-64.3953, -6.52582)",6.0,,,,,
CONS CHOROZINHO,"(-38.4986, -4.28873)",4.0,,,,,
CONS SOLONOPOLE,"(-39.0107, -5.71894)",7.0,,,,,
CONS QUIXELO,"(-39.2011, -6.24637)",7.0,,,,,
CONS PEREIRO,"(-38.4624, -6.03576)",20.0,,,,,
CONS SENADOR POMPEU,"(-39.3704, -5.58244)",20.0,,,,,
CONS CAMBUQUIRA,"(-45.2896, -21.854)",6.0,,,,,
CONS NOVA PRATA,"(-51.6113, -28.7799)",48.0,,,,,
CONS CARAZINHO,"(-52.7933, -28.2958)",21.0,,,,,
CONS BARAO DE COTEGIPE,"(-52.3798, -27.6208)",5.0,,,,,
CONS ERECHIM,"(-52.2697, -27.6364)",4.0,7.15,0.143,44.0,7.185,0.46
CONS CUMARI,"(-48.1511, -18.2644)",28.0,,,,,
CONS TAPURAH,"(-56.5178, -12.695)",7.0,,,,,
CONS LUCAS DO RIO VERDE,"(-55.9042, -13.0588)",7.0,,,,,
CONS ARAPORA,"(-49.1847, -18.4357)",3.0,,,,,
CONS CORUMBAIBA,"(-48.5626, -18.1415)",5.0,,,,,
CONS FRONTEIRA,"(-49.1984, -20.2748)",287.0,,,,,
CONS SAO FIDELIS,"(-41.756, -21.6551)",8.0,,,,,
CONS CAMPOS DOS GOYTACAZES,"(-41.3181, -21.7622)",96.0,7.821,0.157,42.0,7.503,0.146
CONS SAO JOAO DA BARRA,"(-41.0446, -21.638)",19.0,,,,,
CONS PORTO XAVIER,"(-55.1379, -27.9082)",3.0,,,,,
CONS FLORIANO,"(-43.0241, -6.77182)",15.0,,,,,
CONS DIRCEU ARCOVERDE,"(-42.4348, -9.33939)",15.0,,,,,
CONS BARAO DE GRAJAU,"(-43.0261, -6.74463)",9.0,,,,,
CONS FRONTEIRAS,"(-40.6146, -7.08173)",15.0,,,,,
CONS ITAJUBA,"(-45.4598, -22.4225)",18.0,7.565,0.124,32.0,7.336,0.292
CONS BOM JESUS DO ITABAPOANA,"(-41.6822, -21.1449)",8.0,,,,,
CONS CACHOEIRO DE ITAPEMIRIM,"(-41.1198, -20.8462)",2.0,7.535,0.21,59.0,7.193,0.428
CONS ARACRUZ,"(-40.2764, -19.82)",20.0,7.391,0.149,28.0,6.995,0.437
CONS GUARAPARI,"(-40.5093, -20.6772)",46.0,7.41,0.187,16.0,7.65,0.0
CONS SOROCABA,"(-47.4451, -23.4969)",170.0,6.833,0.196,104.0,7.177,0.38
CONS JUQUIA,"(-47.6426, -24.3101)",123.0,,,,,
CONS TIETE,"(-47.7164, -23.1101)",170.0,,,,,
CONS SALTO,"(-47.2931, -23.1996)",3.0,6.72,0.311,50.0,6.999,0.375
CONS JUNDIAI,"(-46.8974, -23.1852)",6.0,6.824,0.199,105.0,6.978,0.36
CONS VILHENA,"(-60.1488, -12.7502)",119.0,7.6,0.088,31.0,7.776,0.361
CONS PIMENTEIRAS DO OESTE,"(-61.0471, -13.4823)",30.0,,,,,
CONS NOVA PETROPOLIS,"(-51.1136, -29.3741)",8.0,,,,,
CONS LUZIANIA,"(-47.95, -16.253)",36.0,7.268,0.33,47.0,6.946,0.334
CONS CRISTALINA,"(-47.6131, -16.7676)",28.0,,,,,
CONS PLANALTINA,"(-47.6089, -15.452)",6.0,,,,,
CONS FORMOSA,"(-47.337, -15.54)",2.0,7.593,0.296,44.0,7.385,0.411
CONS ALMAS,"(-47.1792, -11.5706)",4.0,,,,,
CONS PONTE ALTA DO BOM JESUS,"(-46.4825, -12.0853)",4.0,,,,,
CONS IPORA,"(-53.706, -24.0083)",85.0,,,,,
CONS RIO VERDE,"(-50.9192, -17.7923)",61.0,7.414,0.16,64.0,7.258,0.411
CONS DOM ELISEU,"(-47.8245, -4.19944)",117.0,,,,,
CONS ITINGA DO MARANHAO,"(-47.5235, -4.45293)",5.0,,,,,
CONS CAROLINA,"(-47.4634, -7.33584)",5.0,,,,,
CONS TANGARA DA SERRA,"(-57.4933, -14.6229)",24.0,,,,,
CONS BAEPENDI,"(-44.8874, -21.957)",4.0,,,,,
CONS SAPEZAL,"(-58.7645, -12.9892)",8.0,,,,,
CONS CAMPO NOVO DO PARECIS,"(-57.8907, -13.6587)",8.0,,,,,
CONS SANTO INACIO,"(-51.7969, -22.6957)",4.0,,,,,
CONS PIRAPOZINHO,"(-51.4976, -22.2711)",68.0,,,,,
CONS JANDAIA DO SUL,"(-51.6448, -23.6011)",10.0,,,,,
CONS PEABIRU,"(-52.3431, -23.914)",85.0,,,,,
CONS CRATEUS,"(-40.6536, -5.16768)",12.0,7.999,0.209,28.0,7.666,0.332
CONS SAO PEDRO DA ALDEIA,"(-42.1026, -22.8429)",15.0,,,,,
CONS FELIXLANDIA,"(-44.9004, -18.7507)",5.0,,,,,
CONS GOVERNADOR VALADARES,"(-41.9555, -18.8545)",58.0,7.395,0.1,53.0,7.21,0.41
CONS CORINTO,"(-44.4542, -18.369)",15.0,,,,,
CONS CURVELO,"(-44.4303, -18.7527)",58.0,7.603,0.14,18.0,7.06,0.403
CONS SAO JOAO DAS MISSOES,"(-44.0922, -14.8859)",2.0,,,,,
CONS TURMALINA,"(-42.7285, -17.2828)",3.0,,,,,
CONS DATAS,"(-43.6591, -18.4478)",5.0,,,,,
CONS CAPELINHA,"(-42.5147, -17.6888)",9.0,,,,,
CONS QUIXADA,"(-39.0155, -4.9663)",20.0,7.438,0.252,10.0,7.29,0.424
CONS SAO SEBASTIAO DO PARAISO,"(-46.9837, -20.9167)",6.0,7.696,0.126,28.0,7.286,0.349
CONS SANTO ANTONIO DA ALEGRIA,"(-47.1464, -21.0864)",16.0,,,,,
CONS MARMELEIRO,"(-53.0267, -26.1472)",10.0,,,,,
CONS ALTO PARAISO,"(-52.7469, -26.1146)",6.0,,,,,
CONS CASEARA,"(-49.9521, -9.27612)",3.0,,,,,
CONS SAO BORJA,"(-56.0036, -28.6578)",10.0,,,,,
CONS BARRA DO QUARAI,"(-57.5497, -30.2029)",10.0,,,,,
CONS SAO JOSE DOS AUSENTES,"(-50.0677, -28.7476)",10.0,,,,,
CONS SAO FRANCISCO DO SUL,"(-48.6344, -26.2579)",10.0,,,,,
CONS GUARATUBA,"(-48.5752, -25.8817)",7.0,,,,,
CONS NOVA ANDRADINA,"(-53.3437, -22.238)",64.0,7.753,0.063,24.0,7.327,0.364
