,position,postos,custo_gasolina,desvio_gasolina,postos_preco,custo_diesel,desvio_diesel
REFI RIO GRANDE,"(-52.1071, -32.0349)",,,,,,
REFI LAGES,"(-50.3259, -27.815)",,,,,,
REFI ICARA,"(-49.3087, -28.7132)",,,,,,
DIST TUBARAO,"(-49.0144, -28.4713)",,,,,,
DIST LAGES,"(-50.3259, -27.815)",,,,,,
DIST ICARA,"(array([-49.3087]), array([-28.7132]))",,,,,,
REFI TRIUNFO,"(-51.7075, -29.9291)",,,,,,
DIST JUAZEIRO,"(-40.5033, -9.41622)",,,,,,
DIST MONTES CLAROS,"(-43.8578, -16.7282)",,,,,,
DIST TEIXEIRA DE FREITAS,"(array([-39.74]), array([-17.5399]))",,,,,,
DIST LARANJEIRAS,"(-37.1731, -10.7981)",,,,,,
DIST LUIS EDUARDO MAGALHAES,"(-45.7866, -12.0956)",,,,,,
DIST MARACANAU,"(-38.6259, -3.86699)",,,,,,
DIST CHA DE ALEGRIA,"(-35.204, -8.00679)",,,,,,
DIST CABEDELO,"(-34.8284, -6.98731)",,,,,,
REFI MARABA,"(-49.1327, -5.38075)",,,,,,
DIST TERESINA,"(array([-42.8034]), array([-5.09194]))",,,,,,
REFI ITAITUBA,"(-55.9926, -4.2667)",,,,,,
REFI SENADOR GUIOMARD,"(-67.7362, -10.1497)",,,,,,
DIST CRUZEIRO DO SUL,"(array([-72.6756]), array([-7.62762]))",,,,,,
REFI BOA VISTA,"(nan, nan)",,,,,,
DIST VILHENA,"(-60.1488, -12.7502)",,,,,,
DIST MACAPA,"(array([-51.0694]), array([0.034934]))",,,,,,
REFI RONDONOPOLIS,"(-54.6372, -16.4673)",,,,,,
REFI PRESIDENTE PRUDENTE,"(-51.3925, -22.1207)",,,,,,
REFI UBERLANDIA,"(-48.2749, -18.9141)",,,,,,
REFI PASSOS,"(-46.609, -20.7193)",,,,,,
DIST VARZEA GRANDE,"(array([-56.1322]), array([-15.6458]))",,,,,,
DIST ARACATUBA,"(-50.4401, -21.2076)",,,,,,
DIST CAMPO GRANDE,"(-54.6295, -20.4486)",,,,,,
DIST CASCAVEL,"(-53.459, -24.9573)",,,,,,
REFI SARANDI,"(-51.876, -23.4441)",,,,,,
DIST MARINGA,"(-51.9333, -23.4205)",,,,,,
REFI ITAJAI,"(-48.6705, -26.9101)",,,,,,
DIST ASSIS CHATEAUBRIAND,"(array([-53.5213]), array([-24.4168]))",,,,,,
DIST CAMPO LARGO,"(array([-49.529]), array([-25.4525]))",,,,,,
DIST GUARAPUAVA,"(-51.4623, -25.3902)",,,,,,
DIST NOVA ESPERANCA,"(array([-52.2031]), array([-23.182]))",,,,,,
DIST PINHAIS,"(-49.1927, -25.4429)",,,,,,
DIST PONTA GROSSA,"(array([-50.1668]), array([-25.0916]))",,,,,,
DIST RENASCENCA,"(-52.9703, -26.1588)",,,,,,
DIST SAO MATEUS DO SUL,"(array([-50.384]), array([-25.8677]))",,,,,,
DIST UMUARAMA,"(-53.3201, -23.7656)",,,,,,
DIST CRUZ ALTA,"(-53.6048, -28.645)",,,,,,
DIST IJUI,"(-53.92, -28.388)",,,,,,
REFI IRANI,"(-51.9012, -27.0287)",,,,,,
REFI CHAPECO,"(-52.6152, -27.1004)",,,,,,
REFI PORTO NACIONAL,"(-48.408, -10.7027)",,,,,,
DIST MARABA,"(array([-49.1327]), array([-5.38075]))",,,,,,
DIST ITAITUBA,"(array([-55.9926]), array([-4.2667]))",,,,,,
DIST SINOP,"(-55.5091, -11.8604)",,,,,,
DIST CUIABA,"(-56.0974, -15.601)",,,,,,
DIST RIO BRANCO,"(-67.8243, -9.97499)",,,,,,
DIST BOA VISTA,"(array([-49.5249]), array([-1.71597]))",,,,,,
DIST SENADOR GUIOMARD,"(array([-67.7362]), array([-10.1497]))",,,,,,
DIST PRESIDENTE PRUDENTE,"(-51.3925, -22.1207)",,,,,,
REFI SENADOR CANEDO,"(-49.0914, -16.7084)",,,,,,
DIST PASSOS,"(array([-46.609]), array([-20.7193]))",,,,,,
DIST OURINHOS,"(-49.8697, -22.9797)",,,,,,
DIST SARANDI,"(-51.876, -23.4441)",,,,,,
REFI BIGUACU,"(-48.6598, -27.496)",,,,,,
DIST IRANI,"(array([-51.9012]), array([-27.0287]))",,,,,,
DIST CHAPECO,"(array([-52.6152]), array([-27.1004]))",,,,,,
DIST PORTO NACIONAL,"(-48.408, -10.7027)",,,,,,
REFI BRASILIA,"(-47.9297, -15.7795)",,,,,,
REFI GOIANIA,"(-49.2643, -16.6864)",,,,,,
REFI BARRA DO GARCAS,"(-52.264, -15.8804)",,,,,,
REFI BARRO ALTO,"(-48.9086, -14.9658)",,,,,,
REFI GURUPI,"(-49.068, -11.7279)",,,,,,
REFI NIQUELANDIA,"(-48.4599, -14.4662)",,,,,,
DIST BIGUACU,"(-48.6598, -27.496)",,,,,,
DIST BRASILIA,"(-47.9297, -15.7795)",,,,,,
DIST GOIANIA,"(-49.2643, -16.6864)",,,,,,
DIST BARRA DO GARCAS,"(array([-52.264]), array([-15.8804]))",,,,,,
DIST BARRO ALTO,"(array([-48.9086]), array([-14.9658]))",,,,,,
DIST GURUPI,"(-49.068, -11.7279)",,,,,,
DIST NIQUELANDIA,"(array([-48.4599]), array([-14.4662]))",,,,,,
DIST UBERLANDIA,"(-48.2749, -18.9141)",,,,,,
DIST RIBEIRAO PRETO,"(-47.8099, -21.1699)",,,,,,
CONS BRASILIA,"(-47.9297, -15.7795)",342.0,7.478,0.273,226.0,7.183,0.411
CONS UBERLANDIA,"(-48.2749, -18.9141)",58.0,7.312,0.17,155.0,7.127,0.401
DIST SANTO ANDRE,"(-46.5432, -23.6737)",,,,,,
DIST BARUERI,"(-46.879, -23.5057)",,,,,,
DIST BAURU,"(-49.0871, -22.3246)",,,,,,
DIST SAO PAULO,"(-46.6395, -23.5329)",,,,,,
DIST CUBATAO,"(-46.424, -23.8911)",,,,,,
DIST JARDINOPOLIS,"(-47.7606, -21.0176)",,,,,,
CONS RIBEIRAO PRETO,"(-47.8099, -21.1699)",4.0,6.806,0.212,133.0,7.044,0.408
DIST CABO DE SANTO AGOSTINHO,"(-35.0253, -8.28218)",,,,,,
DIST SAO FRANCISCO DO CONDE,"(-38.6786, -12.6183)",,,,,,
DIST SENADOR CANEDO,"(-49.0914, -16.7084)",,,,,,
DIST BELEM,"(-48.4898, -1.4554)",,,,,,
DIST CANDEIAS,"(-38.5472, -12.6716)",,,,,,
DIST RIO GRANDE,"(-52.1071, -32.0349)",,,,,,
DIST VILA VELHA,"(-40.2875, -20.3417)",,,,,,
DIST SERRA,"(-40.3074, -20.121)",,,,,,
DIST CORONEL BARROS,"(-54.0686, -28.3921)",,,,,,
DIST FEIRA DE SANTANA,"(-38.9663, -12.2664)",,,,,,
CONS CHA DE ALEGRIA,"(array([-35.204]), array([-8.00679]))",,,,,,
DIST PARANAGUA,"(-48.5225, -25.5161)",,,,,,
DIST LONDRINA,"(-51.1691, -23.304)",,,,,,
DIST ARAUCARIA,"(-49.4047, -25.5859)",,,,,,
CONS PAULINIA,"(array([-47.1488]), array([-22.7542]))",,6.759,0.127,67.0,6.976,0.375
DIST BETIM,"(-44.2008, -19.9668)",,,,,,
DIST FORTALEZA,"(-38.5423, -3.71664)",,,,,,
CONS SAO PAULO,"(-46.6395, -23.5329)",8.0,6.882,0.474,686.0,6.965,0.435
DIST LAJEADO,"(-51.9644, -29.4591)",,,,,,
DIST NOSSA SENHORA DO SOCORRO,"(-37.1231, -10.8468)",,,,,,
CONS LARANJEIRAS,"(array([-37.1731]), array([-10.7981]))",,,,,,
DIST SAO LUIS,"(-44.2825, -2.53874)",,,,,,
DIST ACAILANDIA,"(-47.5004, -4.94714)",,,,,,
DIST PEDREIRAS,"(-44.6006, -4.56482)",,,,,,
CONS SAO LUIS,"(-44.2825, -2.53874)",153.0,6.972,0.143,215.0,7.025,0.354
CONS BELEM,"(-48.4898, -1.4554)",5.0,7.134,0.136,85.0,,
CONS PORTO NACIONAL,"(array([-48.408]), array([-10.7027]))",,7.569,0.169,23.0,7.276,0.369
DIST RIO DE JANEIRO,"(-43.2003, -22.9129)",,,,,,
